,timing,trial,hand,PTime
0,pre,0,right,14.313557958479578
1,pre,0,left,17.501258665049136
2,pre,1,right,17.12529076267856
3,pre,1,left,15.471151972817097
4,pre,2,right,15.559263152754284
5,pre,2,left,22.077233764197445
