,C4,C3
0,790.4945563466556,
1,836.3099564299822,465.4747227172584
2,931.7615816754987,1001.7504627675902
3,903.6135995993529,578.4459933981789
4,585.477639593177,677.0602105143361
5,552.4856410547969,692.3315667132896
6,811.7342326766371,988.6252509010209
7,545.9813716927665,719.1435219481918
8,557.853397517413,439.59392007724125
9,690.8229534271379,747.3320625795185
10,770.7152635448302,622.8831856363189
11,571.3925441231734,578.4866139121643
12,812.1162802309793,498.602827966291
13,319.1493711531344,
14,528.8698259083258,802.5951045214235
15,420.73332025306837,687.1886487959506
16,325.23040017007463,584.4960092848341
17,434.66923701787437,718.4064455371761
18,735.3113224830834,881.7979555972636
19,381.2956654373468,421.8555910772593
20,629.1531583278355,334.72211182683725
21,608.5439110332181,1032.7734496262497
22,653.1584968540915,394.6347842611199
23,730.1643030822246,627.879461676037
24,1193.1583351781458,1161.8941990026472
25,309.9729195652731,540.6938095314488
26,543.6785235282455,550.0952840843979
27,728.4524217037097,932.766965172148
28,524.6090191327962,543.9996093099376
29,465.7634362597836,978.8085054218875
30,769.2755009493759,856.6890523420055
31,819.0585073963408,797.3790310496863
32,897.3689486005737,654.8425394657626
33,771.3445558331489,483.46423152325497
34,692.791051791188,620.7217663416079
35,585.6923578894431,504.6820520154086
36,676.5256857308498,587.0932772626653
37,700.2853524614679,1189.3247303514427
38,898.9665161265432,660.4533282432396
39,762.2536267472717,1058.9882900010311
40,1115.9815457707873,947.3717148320022
41,789.5928169238736,469.20228296946925
42,758.5609151106136,552.4415630249952
43,369.91028700585366,407.60900612988297
44,509.14852211764384,269.2762265269827
45,532.1854437206533,1017.3681521827395
46,1054.7385976283167,1033.8606620679916
47,668.9376178209817,788.9447061449897
48,585.3567901315106,638.8584763290336
49,854.5193046820056,460.63440247328936
50,304.28279173371976,752.8819344112264
51,378.93665169488406,511.0147245959385
52,1206.032189093718,1456.2143973104912
53,695.3490581259822,639.7246123053782
54,496.22033553309177,619.9976141591097
55,571.6124104305135,739.4761002801787
56,1078.7530980456945,1264.653687002045
57,1190.8695585485732,745.5559031507631
58,918.8638786161412,627.7734723903952
59,625.2260233777424,450.2590462209742
