,pid,condition,ques_num,response
0,sha1,control,1,1
1,sha1,control,2,1
2,sha1,control,3,1
3,sha1,control,4,1
4,sha1,control,5,1
5,sha1,control,6,1
6,sha1,control,7,1
7,sha1,control,8,1
8,sha1,control,9,1
9,sha1,control,10,1
