,block,hand,RT
0,0,right,13.599289982804976
1,0,left,14.35007609242325
2,0,right,13.46585953411443
3,0,left,13.682826171809893
4,0,right,14.066539596980192
5,0,left,15.568458857422343
6,0,right,13.59932598928765
7,0,left,16.20246981488458
8,0,right,13.215855416351815
9,0,left,14.416909870028121
0,1,right,14.06648673639927
1,1,left,16.80315332517955
2,1,right,10.362231344715724
3,1,left,11.913928418346245
4,1,right,14.383702316787435
5,1,left,13.782971691626699
6,1,right,12.247764437929277
7,1,left,13.682898950870594
8,1,right,15.13449110773945
9,1,left,14.400217417867793
0,2,right,10.445580223401066
1,2,left,13.415692544474723
2,2,right,11.16322926055318
3,2,left,14.533713367713062
4,2,right,14.300075345480309
5,2,left,13.816188054964186
6,2,right,13.232134560056238
7,2,left,14.066476777159323
8,2,right,14.934059872651915
9,2,left,13.198811326413534
0,3,right,10.729173026854369
1,3,left,16.018827559974852
2,3,right,12.63142730080449
3,3,left,10.862748267571078
4,3,right,11.963952531198174
5,3,left,12.147572569342174
6,3,right,12.464579388740049
7,3,left,13.098718667177764
8,3,right,12.131013034729676
9,3,left,12.230808832007142
0,4,right,10.278651871321927
1,4,left,14.867425279845065
2,4,right,13.382345561875582
3,4,left,13.081941561478516
4,4,right,11.897305297817638
5,4,left,13.532506001399724
6,4,right,14.283539176776912
7,4,left,14.033035947876442
8,4,right,14.583642101690884
9,4,left,12.047515150493837
