,C3,C4
0,962.6682166,345.9796374
1,613.4473731,524.9346163
2,1231.833596,1014.852885
3,639.2196668,523.100486
4,1781.959929,324.0989321
5,1113.430493,573.3802326
6,1327.502106,333.8761563
7,2187.545086,513.9542134
8,2467.463437,506.7255296
9,1806.637424,384.1406606
10,3794.27288,578.6902695
11,3275.100488,308.0850812
12,2031.335831,665.5740596
13,1808.87023,325.462806
14,977.5412512,452.0138039
15,2274.679664,478.9466043
16,2187.297415,310.530057
17,2191.880838,734.6420383
18,1578.734426,754.9650581
19,491.3594992,433.2082252
20,664.3509855,921.9035425
21,1000.889904,565.6491759
22,952.4129315,832.4891192
23,1105.170797,248.769993
24,881.8687964,988.3493536
25,571.076588,871.9907871
26,526.7320435,455.0189862
27,549.5248742,768.9370527
28,1548.798197,682.5141078
29,1125.432003,712.3105558
30,432.0704928,603.3954841
31,1240.234386,582.1008443
32,1143.582864,439.7419095
33,2108.789019,558.0387933
34,856.1181695,314.859345
35,578.1386538,554.6414921
36,680.2701593,533.4052122
37,268.3107099,414.8840977
38,1815.716263,527.9294832
39,705.7161843,429.2657816
40,401.4002903,550.1562836
41,662.2032275,616.1446318
42,566.7634404,569.7517167
43,2149.923638,314.493175
44,568.0255538,735.1992865
45,1896.077648,437.3637613
46,1238.232507,558.3873694
47,1108.978385,1337.707043
48,791.0650276,320.8208055
49,541.6694376,542.1089336
50,903.4887716,286.188615
51,625.3661875,272.2188506
52,667.700203,352.4970234
53,689.0533246,576.0184925
54,279.0345064,482.4211111
55,580.9359438,666.650837
56,300.3818033,393.0775282
57,495.3837407,755.2018859
58,643.8436575,464.9866443
59,674.8977401,824.688753
60,785.1002343,217.7369311
61,912.83327,1045.724227
62,528.8716347,820.2057986
63,1197.632226,577.2426284
64,1030.292644,311.4380244
65,497.8608405,453.2486025
66,425.5036882,669.803268
67,774.9149412,626.2660983
68,813.2039981,324.7336396
69,435.4124458,406.8733961
70,1108.995132,867.4930313
71,1135.297433,1093.466678
72,725.4677725,394.1522742
73,485.9421102,342.663102
74,974.9059851,398.2616472
75,1372.337827,708.0108145
76,1587.316851,687.4502117
77,1624.714114,639.3421434
78,264.6695208,840.5827814
79,662.4551812,559.6757678
80,1114.186995,2899.649209
81,1073.786088,867.8289636
82,660.482786,867.1849651
83,1048.404462,563.5033076
84,1105.394589,382.9536748
85,621.8786508,671.3178801
86,796.1349918,396.9181237
87,1270.433676,388.2561057
88,1259.858293,1817.178263
89,692.0939689,798.1911061
90,446.3158708,251.7470562
91,376.3211597,465.2815159
92,2309.184353,913.7307488
93,290.2656805,442.0880784
94,368.5356606,322.2405449
95,528.54591,220.0303723
96,1507.890401,365.8868802
97,470.9650966,622.9448468
98,728.0192984,1350.874634
99,842.7636292,562.1178416
100,506.2437022,460.1115632
101,478.2332387,686.4655196
102,663.944429,384.9485906
103,949.9763608,1098.795914
104,569.133899,212.3764023
105,1214.825081,310.7891112
106,448.2122357,873.3993888
107,544.3168765,344.0801737
108,930.7724898,353.6138779
109,482.0110898,710.4239701
110,363.0604641,445.6928377
111,194.3775636,386.7919831
112,352.7228174,484.5862679
113,724.0402426,318.6322533
114,809.2249125,402.8387939
115,1802.203586,2194.042465
116,316.0407022,451.4325136
117,897.0594081,440.6948615
118,453.5114971,416.447943
119,587.8944671,824.2382229
120,719.9808156,739.8408354
121,465.3725297,925.6440766
122,1089.237708,1027.348706
123,1410.744073,391.5535023
124,435.281822,603.0779446
125,444.5100764,654.2511153
126,681.0947727,387.1784733
127,913.8799478,503.551409
128,730.885672,599.7666941
129,378.4587094,609.9721492
130,718.767386,2562.142125
131,409.2148823,692.101464
132,539.7013148,359.2206677
133,281.700201,489.1281509
134,1134.397261,485.704585
135,721.5068472,922.7064616
136,477.9617561,400.7641186
137,552.56068,378.7089617
138,325.9656221,1373.982129
139,500.8219008,561.5924756
140,586.3375899,1058.293643
141,525.6605917,319.9073158
142,346.2128301,676.9618124
143,302.689075,716.1552902
144,1670.647275,1000.638674
145,858.1956236,781.3803702
146,407.492619,300.4398877
147,455.1003921,1106.764753
148,748.5592333,209.9858411
149,213.0642273,507.5537113
150,314.8655291,851.1774435
151,475.4354556,479.0440222
152,489.0881219,507.7645884
153,234.8695707,594.1562335
154,557.7313762,490.5655943
155,625.9159038,383.1172693
156,582.6883068,545.1078432
157,542.3880018,416.4868192
158,652.2349596,600.3898533
159,884.583643,256.1227779
160,507.3159834,575.3247066
161,355.7269454,260.6845345
162,631.4878644,644.4403067
163,294.5595278,406.3562498
164,419.0269921,683.8816091
165,329.3912378,468.8410643
166,491.5605186,239.7194699
167,362.812478,653.472095
168,691.9263015,659.6826614
169,283.7981618,325.8554484
170,583.8369349,515.2415652
171,415.6718492,902.0306592
172,335.1867199,963.112447
173,331.6459291,421.6380132
174,583.9285998,801.6278145
175,425.1342783,472.6958502
176,576.7032565,296.3078961
177,659.5073749,748.1062594
178,669.4018407,590.9518876
179,741.5047404,693.071365
