,timing,trial,hand,PTime
0,pre,0,right,35.79073671873198
1,pre,0,left,38.43061817751868
2,pre,1,right,36.81504383608808
3,pre,1,left,35.16663625171259
4,pre,2,right,38.338915805409215
5,pre,2,left,37.48270588567948
