,timing,trial,hand,PTime
0,pre,0,right,15.207238930456697
1,pre,0,left,18.65580381583368
2,pre,1,right,16.57366493344307
3,pre,1,left,19.0177225796333
4,pre,2,right,15.199686426105472
5,pre,2,left,18.20766199818536
