,pid,condition,ques_num,response
0,tani,continuous,1,1
1,tani,continuous,2,1
2,tani,continuous,3,1
3,tani,continuous,4,1
4,tani,continuous,5,1
5,tani,continuous,6,1
6,tani,continuous,7,1
7,tani,continuous,8,1
8,tani,continuous,9,1
9,tani,continuous,10,1
