,pid,condition,ques_num,response
0,P01,continuous,1,0
1,P01,continuous,2,0
2,P01,continuous,3,0
3,P01,continuous,4,0
4,P01,continuous,5,0
5,P01,continuous,6,0
6,P01,continuous,7,0
7,P01,continuous,8,0
8,P01,continuous,9,0
9,P01,continuous,10,0
