,day,block,trial,C4,C3
0,Day1,0,0,,
1,Day1,0,0,,
2,Day1,0,0,765.2768778037372,730.9666522891775
3,Day1,0,0,943.025958297384,2632.2548182815844
4,Day1,0,0,1040.7343096367483,965.9913156124524
5,Day1,0,0,1412.5943756699262,636.920250715103
6,Day1,0,0,970.6440472445777,888.7061182246392
7,Day1,0,0,1100.7917262804885,1791.520500721659
8,Day1,0,0,603.3532192246538,409.5908918937842
9,Day1,0,0,,
0,Day1,0,1,,
1,Day1,0,1,1989.3124163615407,1122.158229598512
2,Day1,0,1,785.9774457568793,1227.5578717083324
3,Day1,0,1,507.22280296559796,1511.8361017777884
4,Day1,0,1,,
5,Day1,0,1,,
6,Day1,0,1,,
7,Day1,0,1,869.221244256095,4471.19667743883
8,Day1,0,1,1106.0182282575677,1016.1543988997844
9,Day1,0,1,,
0,Day1,0,2,1681.4569430495596,1027.4954105277043
1,Day1,0,2,,
2,Day1,0,2,,
3,Day1,0,2,1354.8680154555666,527.9275363618779
4,Day1,0,2,325.8566861633953,707.0650637405113
5,Day1,0,2,404.31813051997483,1372.2689490948344
6,Day1,0,2,1963.020088203533,1395.2032906446163
7,Day1,0,2,692.7205728020851,726.2917537616206
8,Day1,0,2,1110.812157113251,864.8323502611395
9,Day1,0,2,606.5904286423754,625.0283289315113
0,Day1,0,3,,
1,Day1,0,3,1809.1343061139494,1631.2265874901886
2,Day1,0,3,2083.1192842037935,1092.8950163917173
3,Day1,0,3,1641.8105929896426,1583.0242821027305
4,Day1,0,3,812.8946779170309,704.1042953611386
5,Day1,0,3,736.1673665379843,1112.040743043065
6,Day1,0,3,932.8340510270648,620.833686792796
7,Day1,0,3,575.3060854292279,1866.8358131420373
8,Day1,0,3,561.5315795841677,1362.1061806795144
9,Day1,0,3,545.5203032250573,1929.489590847509
0,Day1,0,4,1207.8822679602354,1009.0124638423683
1,Day1,0,4,1102.6000329174042,361.8032474503521
2,Day1,0,4,,
3,Day1,0,4,1441.2861426248267,889.1247617415565
4,Day1,0,4,331.2366424827325,564.2069654002122
5,Day1,0,4,1048.513513553508,494.0730432505958
6,Day1,0,4,396.8909740726581,530.5676106336073
7,Day1,0,4,841.6839039987352,1344.9197921970472
8,Day1,0,4,323.83485841501795,880.2162909431364
9,Day1,0,4,1526.6265754714236,1324.0851164660824
0,Day1,0,5,,
1,Day1,0,5,,
2,Day1,0,5,,
3,Day1,0,5,170.67628159204446,589.7854378258312
4,Day1,0,5,991.2795648594076,1911.643884095448
5,Day1,0,5,1292.4160619069005,1491.3710502699046
6,Day1,0,5,,
7,Day1,0,5,836.5048458958169,747.0831743054753
8,Day1,0,5,360.67251450702094,341.86120376549525
9,Day1,0,5,823.7000549495505,1333.499577740908
0,Day1,0,6,575.6592374569964,656.1185874641299
1,Day1,0,6,3862.7111757601256,3062.01321592573
2,Day1,0,6,361.6241202086682,343.9722087987275
3,Day1,0,6,526.9573076502709,463.60893280799826
4,Day1,0,6,773.2609694271492,615.3320620367597
5,Day1,0,6,649.8397228850403,474.8930812694136
6,Day1,0,6,,
7,Day1,0,6,299.17552048471885,281.1743709654741
8,Day1,0,6,582.6277724748797,514.1394926019332
9,Day1,0,6,727.6770006567976,475.5687952328104
0,Day1,0,7,1268.3980410417814,1143.269658017034
1,Day1,0,7,,
2,Day1,0,7,1117.1526433970114,768.479172223422
3,Day1,0,7,2697.9010544773264,4055.206801215608
4,Day1,0,7,1355.0468099166785,1140.8954046570948
5,Day1,0,7,656.7434067977728,707.4337117012601
6,Day1,0,7,717.4090472770955,1002.191082663782
7,Day1,0,7,,
8,Day1,0,7,585.2537347984244,852.0290741444072
9,Day1,0,7,,
0,Day1,0,8,,
