,pid,condition,day,timing,block,hand,RT
0,P17,control,Day1,pre,0,right,17.34347425386659
1,P17,control,Day1,pre,0,left,20.5693721549178
2,P17,control,Day1,pre,1,left,23.05920991142921
3,P17,control,Day1,pre,1,right,18.929489045607625
4,P17,control,Day1,pre,2,left,19.44400117364421
5,P17,control,Day1,pre,2,right,21.068284683773527
6,P17,control,Day1,pre,3,right,20.18028578389203
7,P17,control,Day1,pre,3,left,17.777783566038124
8,P17,control,Day1,pre,4,left,22.857113417223445
9,P17,control,Day1,pre,4,right,19.66169037218788
0,P17,control,Day1,post,0,right,13.579134114042974
1,P17,control,Day1,post,0,left,16.395341149531305
2,P17,control,Day1,post,1,left,17.183252867878767
3,P17,control,Day1,post,1,right,18.20704201720946
4,P17,control,Day1,post,2,left,16.695579328312306
5,P17,control,Day1,post,2,right,17.0996811514633
6,P17,control,Day1,post,3,left,16.106442701493506
7,P17,control,Day1,post,3,right,16.062242879532278
8,P17,control,Day1,post,4,left,16.271887702809178
9,P17,control,Day1,post,4,right,14.752655283518836
0,P17,control,Day2,pre,0,left,14.503479027964206
1,P17,control,Day2,pre,0,right,17.097781274573208
2,P17,control,Day2,pre,1,left,17.649448813950585
3,P17,control,Day2,pre,1,right,17.121369716198387
4,P17,control,Day2,pre,2,right,16.094453741854526
5,P17,control,Day2,pre,2,left,16.118977202168026
6,P17,control,Day2,pre,3,right,15.894990621083707
7,P17,control,Day2,pre,3,left,15.45501242413957
8,P17,control,Day2,pre,4,right,16.45306807556335
9,P17,control,Day2,pre,4,left,16.11590784339569
0,P17,control,Day2,post,0,right,13.136087546248746
1,P17,control,Day2,post,0,left,14.145528515386104
2,P17,control,Day2,post,1,left,14.090638972851593
3,P17,control,Day2,post,1,right,12.744850215061888
4,P17,control,Day2,post,2,right,15.560094582062447
5,P17,control,Day2,post,2,left,14.166164810736518
6,P17,control,Day2,post,3,left,14.21343937106576
7,P17,control,Day2,post,3,right,14.808187101800286
8,P17,control,Day2,post,4,right,13.154027570984908
9,P17,control,Day2,post,4,left,12.98709666545983
