,pid,condition,ques_num,response
0,P02,continuous,1,1
1,P02,continuous,2,1
2,P02,continuous,3,1
3,P02,continuous,4,1
4,P02,continuous,5,1
5,P02,continuous,6,1
6,P02,continuous,7,1
7,P02,continuous,8,1
8,P02,continuous,9,1
9,P02,continuous,10,1
