,C3,C4
0,779.3485799,2426.532735
1,1061.20749,1199.787221
2,440.5594328,634.4786369
3,543.5234114,1183.726263
4,1156.831848,1295.802246
5,1090.579018,1702.526269
6,599.0784152,1540.987951
7,767.8955104,693.3085838
8,660.4797083,1122.587016
9,626.7329027,1722.90171
10,738.3291666,3577.961523
11,673.3864035,3449.470344
12,506.8775223,803.9764121
13,927.8666839,3115.790372
14,712.2976979,5158.159608
15,668.2616352,3407.926372
16,805.0839718,5522.241912
17,803.9885896,4087.194716
18,936.9363794,5078.913915
19,1631.117435,4248.627153
20,592.1779377,3752.149514
21,2174.216352,583.0893894
22,921.0938075,939.9599079
23,546.2031378,309.4396816
24,811.8298979,1217.851459
25,1525.766042,1161.78817
26,487.2098218,2097.269719
27,917.9265723,921.1652398
28,1008.760388,1680.587275
29,355.9674385,569.4474564
30,667.9466658,1083.648239
31,1063.50761,874.6165611
32,616.2302249,787.5718093
33,1143.28432,679.4267878
34,545.3747578,816.2431172
35,689.9707611,677.7281115
36,668.964284,753.2681255
37,606.9001604,1427.056756
38,800.4002534,571.5935276
39,938.5661537,735.6174955
40,590.3773885,693.1081557
41,2930.839204,1329.902239
42,887.8606337,1229.671958
43,603.9898742,942.8419184
44,331.0281329,622.5004141
45,1005.429961,555.099171
46,619.6187542,2069.50856
47,1092.324968,698.5456056
48,956.4405471,706.6071803
49,811.7573646,629.2313254
50,1223.817691,1020.586012
51,584.2027037,634.0315109
52,643.1808038,932.5358939
53,1099.027868,500.3870023
54,602.4614482,830.9371484
55,393.9260398,604.7499233
56,678.2463939,435.9883414
57,1223.725218,492.7211105
58,710.5564494,848.6700841
59,935.8769438,949.998512
60,793.1285269,1269.561859
61,596.6312535,496.8763697
62,1189.796667,463.5770392
63,559.3989347,561.1845472
64,1332.479047,441.0272521
65,728.368354,1088.597197
66,2418.843274,819.5494226
67,1659.507869,2171.942836
68,733.056673,402.9419974
69,1302.484088,526.3207727
70,3224.839048,1255.975463
71,888.8588861,1088.047498
72,1236.273766,1717.810015
73,556.1626089,1777.316288
74,1457.657354,730.7624989
75,553.9389475,629.9769682
76,916.5704042,411.1785497
77,459.1798543,603.8445172
78,1135.564951,991.52748
79,849.5504283,3945.291684
80,399.6571337,948.6891067
81,916.4962843,985.3472492
82,1146.894476,1072.570324
83,704.5657035,566.5801827
84,1161.169251,985.7403855
85,821.0304513,880.8401646
86,640.5993148,692.4353581
87,929.777545,740.7592053
88,501.9914938,1045.233005
89,1036.570451,844.0215591
