,pid,condition,ques_num,response
0,P05,continuous,1,1
1,P05,continuous,2,1
2,P05,continuous,3,1
3,P05,continuous,4,1
4,P05,continuous,5,1
5,P05,continuous,6,1
6,P05,continuous,7,1
7,P05,continuous,8,1
8,P05,continuous,9,1
9,P05,continuous,10,1
