,pid,condition,day,timing,block,hand,RT
0,P04,continuous,Day1,pre,0,left,13.701458297509813
1,P04,continuous,Day1,pre,0,right,18.566068487998567
2,P04,continuous,Day1,pre,1,right,16.38004678534344
3,P04,continuous,Day1,pre,1,left,14.738472110562725
4,P04,continuous,Day1,pre,2,left,12.821489845242468
5,P04,continuous,Day1,pre,2,right,15.346441322777537
6,P04,continuous,Day1,pre,3,left,15.010031229801823
7,P04,continuous,Day1,pre,3,right,13.84181239362806
8,P04,continuous,Day1,pre,4,right,13.607341781564172
9,P04,continuous,Day1,pre,4,left,15.428921259750496
0,P04,continuous,Day1,post,0,right,13.730144672939787
1,P04,continuous,Day1,post,0,left,15.507704028917944
2,P04,continuous,Day1,post,1,left,19.108406460160037
3,P04,continuous,Day1,post,1,right,20.47689404197445
4,P04,continuous,Day1,post,2,right,20.425096154329367
5,P04,continuous,Day1,post,2,left,18.755164141301066
6,P04,continuous,Day1,post,3,right,21.64179416060506
7,P04,continuous,Day1,post,3,left,16.46580100641586
8,P04,continuous,Day1,post,4,left,17.472275263571643
9,P04,continuous,Day1,post,4,right,23.22025114847929
0,P04,continuous,Day2,pre,0,right,15.636163372528243
1,P04,continuous,Day2,pre,0,left,22.349643211051443
2,P04,continuous,Day2,pre,1,left,23.535091875692164
3,P04,continuous,Day2,pre,1,right,18.30863843330735
4,P04,continuous,Day2,pre,2,left,24.49960527026633
5,P04,continuous,Day2,pre,2,right,23.155304796091514
6,P04,continuous,Day2,pre,3,right,17.578414086623525
7,P04,continuous,Day2,pre,3,left,24.636377495691704
8,P04,continuous,Day2,pre,4,left,23.049062933441743
9,P04,continuous,Day2,pre,4,right,20.068376919589355
0,P04,continuous,Day2,post,0,right,16.03221615178336
1,P04,continuous,Day2,post,0,left,14.963109144977352
2,P04,continuous,Day2,post,1,left,14.49848600749101
3,P04,continuous,Day2,post,1,right,13.224984074826352
4,P04,continuous,Day2,post,2,left,15.223158090695506
5,P04,continuous,Day2,post,2,right,15.983193438252783
6,P04,continuous,Day2,post,3,right,14.816550839692354
7,P04,continuous,Day2,post,3,left,13.680497976172774
8,P04,continuous,Day2,post,4,right,14.920895854556875
9,P04,continuous,Day2,post,4,left,16.117512248878484
