,pid,condition,ques_num,response
0,P07,control,1,1
1,P07,control,2,1
2,P07,control,3,1
3,P07,control,4,1
4,P07,control,5,1
5,P07,control,6,1
6,P07,control,7,1
7,P07,control,8,1
8,P07,control,9,1
9,P07,control,10,1
