,timing,trial,hand,PTime
0,pre,0,right,37.24712090329831
1,pre,0,left,47.42900147276896
2,pre,1,right,37.53871840807278
3,pre,1,left,41.79870766431168
4,pre,2,right,35.85080205519398
5,pre,2,left,44.7108226688224
