,pid,condition,ques_num,response
0,P12,continuous,1,1
1,P12,continuous,2,1
2,P12,continuous,3,1
3,P12,continuous,4,1
4,P12,continuous,5,1
5,P12,continuous,6,1
6,P12,continuous,7,1
7,P12,continuous,8,1
8,P12,continuous,9,1
9,P12,continuous,10,1
