,pid,condition,day,timing,block,hand,RT
0,P10,control,Day1,pre,0,left,21.143593742999656
1,P10,control,Day1,pre,0,right,16.570673585014447
2,P10,control,Day1,pre,1,right,16.778164996132546
3,P10,control,Day1,pre,1,left,16.88364628943964
4,P10,control,Day1,pre,2,left,15.841816364780245
5,P10,control,Day1,pre,2,right,14.687689967566257
6,P10,control,Day1,pre,3,right,15.792268418164895
7,P10,control,Day1,pre,3,left,14.267509958273875
8,P10,control,Day1,pre,4,left,13.719082616811647
9,P10,control,Day1,pre,4,right,12.001039207581925
0,P10,control,Day1,post,0,left,7.7594378089997935
1,P10,control,Day1,post,0,right,7.532666090308338
2,P10,control,Day1,post,1,right,6.816170958649309
3,P10,control,Day1,post,1,left,7.082407667381631
4,P10,control,Day1,post,2,right,6.406957979317667
5,P10,control,Day1,post,2,left,7.035325779892446
6,P10,control,Day1,post,3,left,6.194686902807008
7,P10,control,Day1,post,3,right,6.9292844712945225
8,P10,control,Day1,post,4,left,7.865317471594608
9,P10,control,Day1,post,4,right,7.648710681623925
0,P10,control,Day2,pre,0,right,12.155056641160627
1,P10,control,Day2,pre,0,left,12.054808656554089
2,P10,control,Day2,pre,1,right,13.986789476621196
3,P10,control,Day2,pre,1,left,13.901980199545505
4,P10,control,Day2,pre,2,left,16.014536248883815
5,P10,control,Day2,pre,2,right,14.692841924945242
6,P10,control,Day2,pre,3,left,14.54739746407722
7,P10,control,Day2,pre,3,right,14.476628773103585
8,P10,control,Day2,pre,4,left,15.716640632250344
9,P10,control,Day2,pre,4,right,15.458468133947465
0,P10,control,Day2,post,0,left,11.442238434479805
1,P10,control,Day2,post,0,right,10.5144573412108
2,P10,control,Day2,post,1,left,10.896204617558396
3,P10,control,Day2,post,1,right,11.749652767946827
4,P10,control,Day2,post,2,left,14.060902933604664
5,P10,control,Day2,post,2,right,11.533141988606074
6,P10,control,Day2,post,3,left,12.276559135178106
7,P10,control,Day2,post,3,right,11.417579786764689
8,P10,control,Day2,post,4,right,11.282751855294919
9,P10,control,Day2,post,4,left,10.70927770367416
0,P10,control,Day3,pre,0,left,13.33074750904416
1,P10,control,Day3,pre,0,right,12.783665639592073
2,P10,control,Day3,pre,1,right,12.875395879331336
3,P10,control,Day3,pre,1,left,12.407285328830767
4,P10,control,Day3,pre,2,left,12.2111524972388
5,P10,control,Day3,pre,2,right,12.422082060977118
6,P10,control,Day3,pre,3,right,13.420808428880266
7,P10,control,Day3,pre,3,left,12.697440937947247
8,P10,control,Day3,pre,4,right,11.27032295479512
9,P10,control,Day3,pre,4,left,13.300470688460337
0,P10,control,Day3,post,0,left,10.0371628609646
1,P10,control,Day3,post,0,right,13.138838922503055
2,P10,control,Day3,post,1,right,13.053422450553626
3,P10,control,Day3,post,1,left,11.574200848528562
4,P10,control,Day3,post,2,left,14.120637283369433
5,P10,control,Day3,post,2,right,11.93750086185537
6,P10,control,Day3,post,3,right,11.125105912564322
7,P10,control,Day3,post,3,left,12.269756427915127
8,P10,control,Day3,post,4,right,12.015591938234138
9,P10,control,Day3,post,4,left,11.534794479830452
