,pid,condition,ques_num,response
0,P14,control,1,1
1,P14,control,2,1
2,P14,control,3,1
3,P14,control,4,1
4,P14,control,5,1
5,P14,control,6,1
6,P14,control,7,1
7,P14,control,8,1
8,P14,control,9,1
9,P14,control,10,1
