,pid,condition,day,timing,block,hand,RT
0,P08,control,Day1,pre,0,left,10.145261308789486
1,P08,control,Day1,pre,0,right,9.685445025697843
2,P08,control,Day1,pre,1,left,11.431497632580431
3,P08,control,Day1,pre,1,right,12.128380052916329
4,P08,control,Day1,pre,2,left,11.634649954590714
5,P08,control,Day1,pre,2,right,10.657883658725039
6,P08,control,Day1,pre,3,left,10.565227317212702
7,P08,control,Day1,pre,3,right,11.636108596834676
8,P08,control,Day1,pre,4,left,11.642998076720689
9,P08,control,Day1,pre,4,right,11.318534064543199
0,P08,control,Day1,post,0,right,9.911741418891324
1,P08,control,Day1,post,0,left,9.861204521334002
2,P08,control,Day1,post,1,left,9.677786004769587
3,P08,control,Day1,post,1,right,10.722045914288174
4,P08,control,Day1,post,2,left,11.019007931750819
5,P08,control,Day1,post,2,right,9.536538643485985
6,P08,control,Day1,post,3,right,8.102874881205935
7,P08,control,Day1,post,3,left,10.071674952607284
8,P08,control,Day1,post,4,left,9.928258014202584
9,P08,control,Day1,post,4,right,9.450374562322397
0,P08,control,Day2,pre,0,left,11.179470521856274
1,P08,control,Day2,pre,0,right,9.80813522783319
2,P08,control,Day2,pre,1,right,10.53005079968716
3,P08,control,Day2,pre,1,left,10.48816921175785
4,P08,control,Day2,pre,2,left,10.867420554146518
5,P08,control,Day2,pre,2,right,9.6270470986874
6,P08,control,Day2,pre,3,right,10.220941866495195
7,P08,control,Day2,pre,3,left,10.328757709778074
8,P08,control,Day2,pre,4,left,9.880668616120602
9,P08,control,Day2,pre,4,right,9.6070892032094
0,P08,control,Day2,post,0,left,8.465896563531714
1,P08,control,Day2,post,0,right,9.16804001768105
2,P08,control,Day2,post,1,left,9.532675437421858
3,P08,control,Day2,post,1,right,8.35819371910111
4,P08,control,Day2,post,2,left,8.7681420613917
5,P08,control,Day2,post,2,right,8.737433187037823
6,P08,control,Day2,post,3,right,9.764759756781132
7,P08,control,Day2,post,3,left,9.580969614416972
8,P08,control,Day2,post,4,left,9.046034199964197
9,P08,control,Day2,post,4,right,8.719825284624676
