,pid,condition,day,timing,block,hand,RT
0,P09,control,Day1,pre,0,left,13.719152331436815
1,P09,control,Day1,pre,0,right,14.808373645879328
2,P09,control,Day1,pre,1,left,14.918598981170366
3,P09,control,Day1,pre,1,right,14.196438578542256
4,P09,control,Day1,pre,2,left,15.31370892151881
5,P09,control,Day1,pre,2,right,15.490022189935189
6,P09,control,Day1,pre,3,left,16.412075492512482
7,P09,control,Day1,pre,3,right,15.810149836649543
8,P09,control,Day1,pre,4,right,18.14580392646621
9,P09,control,Day1,pre,4,left,17.067026016195992
0,P09,control,Day1,post,0,right,11.478808860500068
1,P09,control,Day1,post,0,left,13.77667800614472
2,P09,control,Day1,post,1,left,13.885761860199635
3,P09,control,Day1,post,1,right,13.6323396190146
4,P09,control,Day1,post,2,right,14.309821373508385
5,P09,control,Day1,post,2,left,13.831236212687145
6,P09,control,Day1,post,3,left,13.153898100965307
7,P09,control,Day1,post,3,right,14.282486728365257
8,P09,control,Day1,post,4,left,12.377018228842644
9,P09,control,Day1,post,4,right,14.226254987755963
0,P09,control,Day2,pre,0,left,25.145983902821175
1,P09,control,Day2,pre,0,right,14.852961951150064
2,P09,control,Day2,pre,1,right,15.669493044628325
3,P09,control,Day2,pre,1,left,16.91188189580498
4,P09,control,Day2,pre,2,left,15.890062375416164
5,P09,control,Day2,pre,2,right,16.2849074787664
6,P09,control,Day2,pre,3,right,18.577749398235028
7,P09,control,Day2,pre,3,left,18.06632731233913
8,P09,control,Day2,pre,4,left,18.674287647030724
9,P09,control,Day2,pre,4,right,15.838723701894194
0,P09,control,Day2,post,0,right,13.16570547343872
1,P09,control,Day2,post,0,left,12.618371941942316
2,P09,control,Day2,post,1,left,13.334517460058125
3,P09,control,Day2,post,1,right,15.088516856380007
4,P09,control,Day2,post,2,left,13.3098250853036
5,P09,control,Day2,post,2,right,13.671741148929868
6,P09,control,Day2,post,3,right,16.072970117718793
7,P09,control,Day2,post,3,left,18.614151910409426
8,P09,control,Day2,post,4,left,13.823443181070616
9,P09,control,Day2,post,4,right,12.652984091280816
0,P09,control,Day3,pre,0,right,15.218408944303519
1,P09,control,Day3,pre,0,left,13.740515367098851
2,P09,control,Day3,pre,1,left,12.209844773926307
3,P09,control,Day3,pre,1,right,11.265488515477045
4,P09,control,Day3,pre,2,left,11.323683734735825
5,P09,control,Day3,pre,2,right,11.349045676077369
6,P09,control,Day3,pre,3,right,12.678560156040476
7,P09,control,Day3,pre,3,left,11.8321996411687
8,P09,control,Day3,pre,4,left,12.552162991196385
9,P09,control,Day3,pre,4,right,14.300286059689824
0,P09,control,Day3,post,0,right,13.326402987164329
1,P09,control,Day3,post,0,left,14.42855862385477
2,P09,control,Day3,post,1,right,14.261148973193485
3,P09,control,Day3,post,1,left,15.072810387020581
4,P09,control,Day3,post,2,right,11.770714812126243
5,P09,control,Day3,post,2,left,13.988593236004817
6,P09,control,Day3,post,3,right,13.915161163298762
7,P09,control,Day3,post,3,left,13.62908653957129
8,P09,control,Day3,post,4,left,12.427307974590803
9,P09,control,Day3,post,4,right,14.746530741074821
