,pid,condition,ques_num,response
0,P04,continuous,1,1
1,P04,continuous,2,1
2,P04,continuous,3,1
3,P04,continuous,4,1
4,P04,continuous,5,1
5,P04,continuous,6,1
6,P04,continuous,7,1
7,P04,continuous,8,1
8,P04,continuous,9,1
9,P04,continuous,10,1
