,pid,condition,day,timing,block,hand,RT
0,P05,continuous,Day1,pre,0,right,10.26913463914093
1,P05,continuous,Day1,pre,0,left,8.797400259322785
2,P05,continuous,Day1,pre,1,right,10.191843011975834
3,P05,continuous,Day1,pre,1,left,9.684663751678274
4,P05,continuous,Day1,pre,2,right,9.920981979549195
5,P05,continuous,Day1,pre,2,left,9.968168785874695
6,P05,continuous,Day1,pre,3,left,12.332315577185
7,P05,continuous,Day1,pre,3,right,11.837992526750893
8,P05,continuous,Day1,pre,4,left,8.29013098295627
9,P05,continuous,Day1,pre,4,right,11.380723154622956
0,P05,continuous,Day1,post,0,left,9.668357053525142
1,P05,continuous,Day1,post,0,right,9.640915176135422
2,P05,continuous,Day1,post,1,right,10.82776478609685
3,P05,continuous,Day1,post,1,left,11.724757674826831
4,P05,continuous,Day1,post,2,left,10.569666500040512
5,P05,continuous,Day1,post,2,right,10.233371829566751
6,P05,continuous,Day1,post,3,right,10.723709274911014
7,P05,continuous,Day1,post,3,left,10.3014128692339
8,P05,continuous,Day1,post,4,right,11.003312208285932
9,P05,continuous,Day1,post,4,left,11.080941682994306
0,P05,continuous,Day2,pre,0,left,9.550023461634735
1,P05,continuous,Day2,pre,0,right,8.31230328137326
2,P05,continuous,Day2,pre,1,right,9.329366880598627
3,P05,continuous,Day2,pre,1,left,8.547966115653708
4,P05,continuous,Day2,pre,2,left,10.8316519480818
5,P05,continuous,Day2,pre,2,right,10.129475665975406
6,P05,continuous,Day2,pre,3,left,10.801295082249908
7,P05,continuous,Day2,pre,3,right,10.13063323431561
8,P05,continuous,Day2,pre,4,right,8.809761572331354
9,P05,continuous,Day2,pre,4,left,9.097236123639961
0,P05,continuous,Day2,post,0,right,9.074849701893982
1,P05,continuous,Day2,post,0,left,9.002632299680954
2,P05,continuous,Day2,post,1,left,10.092000635858312
3,P05,continuous,Day2,post,1,right,9.89526419716185
4,P05,continuous,Day2,post,2,left,8.498475664059697
5,P05,continuous,Day2,post,2,right,9.330660430659918
6,P05,continuous,Day2,post,3,right,8.509411275757884
7,P05,continuous,Day2,post,3,left,9.034012284320852
8,P05,continuous,Day2,post,4,right,8.75662298014413
9,P05,continuous,Day2,post,4,left,7.0947949644623804
