,pid,hand,lateral,day,timing,trial,RT
0,T01,right,left,Day1,pre,0,5.669188280560775
1,T01,right,left,Day1,pre,1,1.3717696105886716
2,T01,right,left,Day1,pre,2,10.603493007554787
3,T01,right,left,Day1,pre,3,0.6565224655205384
4,T01,right,left,Day1,pre,4,3.6788628062786297
5,T01,right,left,Day1,pre,5,0.7614915836311411
6,T01,right,left,Day1,pre,6,14.899518586971679
7,T01,right,left,Day1,pre,7,0.6502201443072408
8,T01,right,left,Day1,pre,8,1.7920886848587545
9,T01,right,left,Day1,pre,9,0.5217797631776193
0,T01,right,left,Day1,post,0,5.253013522233232
1,T01,right,left,Day1,post,1,1.28995047074568
2,T01,right,left,Day1,post,2,0.32317182564293034
3,T01,right,left,Day1,post,3,1.0514225202641683
4,T01,right,left,Day1,post,4,1.1271413627109723
5,T01,right,left,Day1,post,5,0.45068536457256414
6,T01,right,left,Day1,post,6,0.691391882559401
7,T01,right,left,Day1,post,7,0.39854059625940863
8,T01,right,left,Day1,post,8,0.5426720094110351
9,T01,right,left,Day1,post,9,0.45109558092372026
