,pid,condition,day,block,hand,RT
0,P06,continuous,Day1,0,left,12.53646168
1,P06,continuous,Day1,0,right,11.7306183
2,P06,continuous,Day1,0,right,13.16587395
3,P06,continuous,Day1,0,left,12.71497542
4,P06,continuous,Day1,0,right,12.74826183
5,P06,continuous,Day1,0,left,18.07122454
6,P06,continuous,Day1,0,left,16.31927512
7,P06,continuous,Day1,0,right,15.18444024
8,P06,continuous,Day1,0,right,16.38609003
9,P06,continuous,Day1,0,left,13.81625307
0,P06,continuous,Day1,1,left,15.23454166
1,P06,continuous,Day1,1,right,15.68526897
2,P06,continuous,Day1,1,right,17.28708001
3,P06,continuous,Day1,1,left,13.58256906
4,P06,continuous,Day1,1,right,16.10224293
5,P06,continuous,Day1,1,left,15.03425207
6,P06,continuous,Day1,1,left,15.66848576
7,P06,continuous,Day1,1,right,12.83182968
8,P06,continuous,Day1,1,right,14.33358997
9,P06,continuous,Day1,1,left,13.16552193
0,P06,continuous,Day1,2,left,13.5159767
1,P06,continuous,Day1,2,right,12.24781998
2,P06,continuous,Day1,2,right,13.09880892
3,P06,continuous,Day1,2,left,11.03004162
4,P06,continuous,Day1,2,right,14.78413687
5,P06,continuous,Day1,2,left,13.11545346
6,P06,continuous,Day1,2,left,16.61998893
7,P06,continuous,Day1,2,right,12.8153284
8,P06,continuous,Day1,2,right,13.3823806
9,P06,continuous,Day1,2,left,9.761481167
0,P06,continuous,Day1,3,left,8.159489705
1,P06,continuous,Day1,3,right,8.743670625
2,P06,continuous,Day1,3,right,9.64463533
3,P06,continuous,Day1,3,left,8.760282229
4,P06,continuous,Day1,3,right,9.060688068
5,P06,continuous,Day1,3,left,17.07043891
6,P06,continuous,Day1,3,left,13.16544455
7,P06,continuous,Day1,3,right,9.878598584
8,P06,continuous,Day1,3,right,15.73523095
9,P06,continuous,Day1,3,left,10.8126643
0,P06,continuous,Day1,4,left,11.64682559
1,P06,continuous,Day1,4,right,11.27987413
2,P06,continuous,Day1,4,right,15.56836452
3,P06,continuous,Day1,4,left,11.99746768
4,P06,continuous,Day1,4,right,11.89763947
5,P06,continuous,Day1,4,left,22.05934127
6,P06,continuous,Day1,4,left,20.42410554
7,P06,continuous,Day1,4,right,12.5981472
8,P06,continuous,Day1,4,right,20.9583375
9,P06,continuous,Day1,4,left,17.13693896
0,P06,continuous,Day2,0,right,13.67516252
1,P06,continuous,Day2,0,left,15.60180331
2,P06,continuous,Day2,0,left,12.38109404
3,P06,continuous,Day2,0,right,12.14757721
4,P06,continuous,Day2,0,right,14.78411482
5,P06,continuous,Day2,0,left,14.95088536
6,P06,continuous,Day2,0,right,12.18127269
7,P06,continuous,Day2,0,left,16.71971086
8,P06,continuous,Day2,0,left,14.0664705
9,P06,continuous,Day2,0,right,13.54960629
0,P06,continuous,Day2,1,right,11.63038703
1,P06,continuous,Day2,1,left,14.78407958
2,P06,continuous,Day2,1,left,13.29896765
3,P06,continuous,Day2,1,right,12.93160891
4,P06,continuous,Day2,1,right,12.53134338
5,P06,continuous,Day2,1,left,12.24773591
6,P06,continuous,Day2,1,right,12.29780319
7,P06,continuous,Day2,1,left,13.3323655
8,P06,continuous,Day2,1,left,13.46589064
9,P06,continuous,Day2,1,right,12.93183682
0,P06,continuous,Day2,2,right,11.17981596
1,P06,continuous,Day2,2,left,12.04747827
2,P06,continuous,Day2,2,left,14.36687266
3,P06,continuous,Day2,2,right,10.94613941
4,P06,continuous,Day2,2,right,12.01402373
5,P06,continuous,Day2,2,left,14.95091638
6,P06,continuous,Day2,2,right,13.06538609
7,P06,continuous,Day2,2,left,13.89969651
8,P06,continuous,Day2,2,left,15.83529409
9,P06,continuous,Day2,2,right,9.611110579
0,P06,continuous,Day2,3,right,12.43132411
1,P06,continuous,Day2,3,left,13.14884893
2,P06,continuous,Day2,3,left,14.48373066
3,P06,continuous,Day2,3,right,13.11548172
4,P06,continuous,Day2,3,right,13.76618516
5,P06,continuous,Day2,3,left,11.89739478
6,P06,continuous,Day2,3,right,11.51357231
7,P06,continuous,Day2,3,left,15.15107251
8,P06,continuous,Day2,3,left,13.3657216
9,P06,continuous,Day2,3,right,11.34661638
0,P06,continuous,Day2,4,right,14.30013671
1,P06,continuous,Day2,4,left,12.69830506
2,P06,continuous,Day2,4,left,11.14653226
3,P06,continuous,Day2,4,right,13.09864068
4,P06,continuous,Day2,4,right,13.99972765
5,P06,continuous,Day2,4,left,13.46584582
6,P06,continuous,Day2,4,right,13.94969102
7,P06,continuous,Day2,4,left,13.41582987
8,P06,continuous,Day2,4,left,13.21536807
9,P06,continuous,Day2,4,right,15.55165099
