,pid,condition,day,timing,block,hand,RT
0,P02,continuous,Day1,pre,0,right,12.918474998732565
1,P02,continuous,Day1,pre,0,left,12.02853392281395
2,P02,continuous,Day1,pre,1,left,14.558704796159873
3,P02,continuous,Day1,pre,1,right,12.558328261147835
4,P02,continuous,Day1,pre,2,left,13.341793432817216
5,P02,continuous,Day1,pre,2,right,14.460049175540915
6,P02,continuous,Day1,pre,3,right,11.316059965203747
7,P02,continuous,Day1,pre,3,left,10.433238963363694
8,P02,continuous,Day1,pre,4,right,12.82176027628884
9,P02,continuous,Day1,pre,4,left,13.075800749764312
0,P02,continuous,Day1,post,0,left,10.787148549759877
1,P02,continuous,Day1,post,0,right,11.337242836743824
2,P02,continuous,Day1,post,1,right,11.36584762322309
3,P02,continuous,Day1,post,1,left,10.627976896139442
4,P02,continuous,Day1,post,2,left,12.113861046702368
5,P02,continuous,Day1,post,2,right,11.641786499676527
6,P02,continuous,Day1,post,3,left,11.969512155410484
7,P02,continuous,Day1,post,3,right,11.622943278038292
8,P02,continuous,Day1,post,4,left,11.342656820328555
9,P02,continuous,Day1,post,4,right,12.666552007998689
0,P02,continuous,Day2,pre,0,left,9.660533959589882
1,P02,continuous,Day2,pre,0,right,9.492097169782028
2,P02,continuous,Day2,pre,1,left,10.640214858615764
3,P02,continuous,Day2,pre,1,right,10.149019764065997
4,P02,continuous,Day2,pre,2,right,10.336510451240427
5,P02,continuous,Day2,pre,2,left,9.567857316596928
6,P02,continuous,Day2,pre,3,right,10.554227362029447
7,P02,continuous,Day2,pre,3,left,10.197057664249767
8,P02,continuous,Day2,pre,4,left,10.240617747248507
9,P02,continuous,Day2,pre,4,right,10.047706947741062
0,P02,continuous,Day2,post,0,right,9.18303585279773
1,P02,continuous,Day2,post,0,left,10.739326304935277
2,P02,continuous,Day2,post,1,right,10.567460480103362
3,P02,continuous,Day2,post,1,left,9.683091969155614
4,P02,continuous,Day2,post,2,right,10.83077834728374
5,P02,continuous,Day2,post,2,left,10.583546147755444
6,P02,continuous,Day2,post,3,right,10.698833277727317
7,P02,continuous,Day2,post,3,left,10.776798625015543
8,P02,continuous,Day2,post,4,left,10.31625646822431
9,P02,continuous,Day2,post,4,right,10.561606375737027
0,P02,continuous,Day3,pre,0,left,8.097322383797291
1,P02,continuous,Day3,pre,0,right,7.439628091622579
2,P02,continuous,Day3,pre,1,left,8.097608520198264
3,P02,continuous,Day3,pre,1,right,8.030892389346262
4,P02,continuous,Day3,pre,2,right,7.813318404700112
5,P02,continuous,Day3,pre,2,left,7.893141651307816
6,P02,continuous,Day3,pre,3,right,7.834465685271425
7,P02,continuous,Day3,pre,3,left,8.45699775878893
8,P02,continuous,Day3,pre,4,left,8.244149046811799
9,P02,continuous,Day3,pre,4,right,8.772118209955806
0,P02,continuous,Day3,post,0,right,9.366361467269599
1,P02,continuous,Day3,post,0,left,9.907464176452777
2,P02,continuous,Day3,post,1,right,10.250434088455222
3,P02,continuous,Day3,post,1,left,9.68297848461225
4,P02,continuous,Day3,post,2,right,9.1351054127299
5,P02,continuous,Day3,post,2,left,9.637080596621672
6,P02,continuous,Day3,post,3,right,9.514938273830921
7,P02,continuous,Day3,post,3,left,10.025594077778806
8,P02,continuous,Day3,post,4,left,10.003900188574335
9,P02,continuous,Day3,post,4,right,9.891679942447809
