,C3,C4
0,2138.509959,1706.902869
1,2344.070649,1474.284148
2,1262.839949,1269.766548
3,974.6393033,1456.015804
4,533.9341376,1746.193366
5,519.0818348,649.7609721
6,1040.953695,821.2362269
7,893.8318857,802.3072817
8,1857.746675,702.1889314
9,873.4724641,555.9417064
10,763.2727005,960.5426076
11,818.7132682,567.0496024
12,1373.149439,1825.322314
13,1511.851333,595.8512537
14,1329.717493,1953.654088
15,932.7375777,487.3356832
16,1569.189864,628.674233
17,1099.32374,1483.992543
18,655.5536281,603.4469854
19,720.0409423,588.4054782
20,1196.019579,678.2511063
21,2232.130717,1067.498308
22,528.5917317,1918.432917
23,287.8622033,1029.4631
24,541.3328387,985.4249765
25,566.4821596,557.5133593
26,321.9739971,381.3338133
27,405.3775867,2045.637336
28,690.8118468,795.6154908
29,589.5129712,915.0167999
30,387.3690902,549.7924516
31,347.7521725,391.4550863
32,2810.94146,1515.05184
33,1076.933805,2110.918731
34,182.8214053,379.2029611
35,994.5717186,441.6153102
36,2405.36616,2101.074828
37,1664.875494,1350.321213
38,910.493434,1092.685621
39,886.1038198,310.9105375
40,1403.167715,660.2924743
41,2352.733966,1168.404763
42,343.8744244,701.1141739
43,1098.219643,943.8874169
44,1813.728108,774.3417409
45,743.1635889,1011.291861
46,240.6625483,1467.599215
47,643.2177932,524.515446
48,725.6160958,2007.492179
49,953.6294549,869.9082294
50,405.1634352,795.9480768
51,578.7517184,1051.756396
52,787.0576629,1353.711501
53,1526.495397,691.0060576
54,600.7688503,516.6713325
55,1038.354893,1064.771654
56,1179.101343,748.8111903
57,659.0438069,396.1845797
58,315.2288577,769.4084968
59,867.5463279,648.2568558
60,668.7415028,754.3717885
61,646.809172,1217.803317
62,499.3772942,1082.897315
63,1422.848342,551.2896023
64,531.5138849,1477.709445
65,443.0022485,617.8932159
66,1190.340596,709.8808103
67,1652.018376,1100.418729
68,1793.240102,1293.578749
69,783.3142242,999.996943
70,351.5725316,1176.864113
71,504.3764051,329.4026698
72,802.6987418,460.6220663
73,808.1477562,1383.647737
74,801.5693755,858.7671503
75,364.0681665,982.1462594
76,511.2127866,725.1316487
77,838.4491461,928.4208931
78,284.2615541,566.880069
79,777.4589946,551.6462625
80,701.2634685,909.0756405
81,1039.820127,778.394077
82,500.0840115,1079.42485
83,669.739182,672.1531897
84,2401.333328,448.0554833
85,1517.027609,961.7000881
86,2338.075685,1024.16731
87,976.7089468,1103.827459
88,828.9898777,1575.238587
89,750.2449862,875.8049034
90,1791.579383,1576.436304
91,294.5051931,1709.749709
92,1268.723997,511.7930508
93,1129.814136,1935.131499
94,2442.662597,1580.019606
95,1880.700953,920.470977
96,1045.918757,1943.066496
97,1382.167181,474.600845
98,974.5326415,562.8978298
99,1030.15426,736.3290544
100,809.0703137,300.3055484
101,580.4019093,548.7368701
102,600.3159843,574.9951869
103,903.980869,751.6591489
104,499.7073001,651.3783076
105,1492.417883,359.0184244
106,606.2913404,651.3790544
107,2870.909961,766.3991777
108,1213.147692,2285.520826
109,1086.699116,1162.488774
110,798.8101723,947.5156542
111,643.2201359,367.4543755
112,402.0064956,685.2765972
113,1039.272582,819.8191935
114,1363.630573,1255.217573
115,5169.676539,1466.983907
116,600.135268,1544.38454
117,2705.771737,1454.883916
118,1537.752089,2241.001224
119,4730.186929,1496.194502
120,2626.836654,3181.88992
121,1493.216784,6340.917514
122,2834.32753,1008.610891
123,975.8737414,1815.370156
124,1433.06161,2476.139444
125,3045.441041,7451.177717
126,676.7835782,715.4373391
127,815.4506636,1520.05112
128,1775.80465,705.665811
129,1137.29439,1372.864026
130,818.1519045,1246.873406
131,774.9027031,1191.169398
132,543.2169796,1452.782115
133,1522.376953,1103.25759
134,864.3085275,1963.09041
135,792.8476232,957.0212653
136,1872.638097,1461.981007
137,10153.35238,1551.923099
138,889.2741045,3389.490943
139,1610.855072,2383.645369
140,1251.161535,1081.911361
141,1411.984555,1182.735487
142,727.800433,1215.835666
143,948.9207107,1398.92888
144,1993.847726,992.2923975
145,830.0943347,1790.730121
146,795.3838421,1136.985955
147,1129.486915,1198.863764
148,2056.369584,1118.145799
149,1477.435313,660.5435608
150,1112.200781,645.144457
151,1017.593925,538.0402674
152,1053.868504,1791.055812
153,1468.648882,1730.742457
154,2364.913227,1908.697336
155,1648.447873,1223.520528
156,631.1783093,1630.149165
157,1991.87659,2117.284442
158,1139.388476,1207.038532
159,690.1179621,989.3640753
160,889.9475687,901.6608481
161,844.2795853,830.6249707
162,1339.323807,1644.02413
163,720.0490944,1605.244336
164,1525.753528,1564.193591
165,865.9928606,864.9055955
166,1076.568193,1272.008942
167,2792.894778,1181.455921
168,2240.130381,1880.900519
169,1830.100219,2772.200609
170,1917.991673,1726.865659
171,2071.189642,1793.079645
172,1138.29308,1945.715293
173,2553.552059,1138.528359
174,1434.54238,2215.454807
175,1840.571188,1301.802048
176,2352.808716,1744.52179
177,1299.115681,1431.877233
178,1655.066095,872.1497603
179,4821.305555,2271.116348
