,pid,condition,day,block,hand,RT
0,P07,control,Day1,0,left,17.236922877738834
1,P07,control,Day1,0,right,15.618164769116447
2,P07,control,Day1,0,left,18.171437578500445
3,P07,control,Day1,0,right,16.753138589781884
4,P07,control,Day1,0,right,18.338229948361914
5,P07,control,Day1,0,left,18.137897616950802
6,P07,control,Day1,0,left,18.705156997479207
7,P07,control,Day1,0,right,17.0534545650944
8,P07,control,Day1,0,left,19.70665317831117
9,P07,control,Day1,0,right,19.256364801522068
0,P07,control,Day1,1,left,23.09388515567207
1,P07,control,Day1,1,right,23.29494987257931
2,P07,control,Day1,1,left,20.77443752449108
3,P07,control,Day1,1,right,16.369280488705954
4,P07,control,Day1,1,right,16.853583038993747
5,P07,control,Day1,1,left,19.706601466992648
6,P07,control,Day1,1,left,19.205981122687266
7,P07,control,Day1,1,right,18.788781478308014
8,P07,control,Day1,1,left,16.786375944354404
9,P07,control,Day1,1,right,17.437247548213232
0,P07,control,Day1,2,left,22.142782612892013
1,P07,control,Day1,2,right,18.95562479339424
2,P07,control,Day1,2,left,19.55637816985564
3,P07,control,Day1,2,right,17.954468758128318
4,P07,control,Day1,2,right,18.588515413995086
5,P07,control,Day1,2,left,20.15697871064185
6,P07,control,Day1,2,left,20.14044028166154
7,P07,control,Day1,2,right,17.186914967822304
8,P07,control,Day1,2,left,17.971073837251424
9,P07,control,Day1,2,right,18.30527183491268
0,P07,control,Day1,3,left,21.658922098621588
1,P07,control,Day1,3,right,18.705427428526487
2,P07,control,Day1,3,left,18.22144970193221
3,P07,control,Day1,3,right,19.5230389248336
4,P07,control,Day1,3,right,19.23937590949663
5,P07,control,Day1,3,left,20.841312900595764
6,P07,control,Day1,3,left,20.590939334195355
7,P07,control,Day1,3,right,19.00580392523443
8,P07,control,Day1,3,left,18.05445163593595
9,P07,control,Day1,3,right,21.7089097070575
0,P07,control,Day1,4,left,18.08780237236261
1,P07,control,Day1,4,right,16.969898266597742
2,P07,control,Day1,4,left,22.34298202706032
3,P07,control,Day1,4,right,17.10342646861136
4,P07,control,Day1,4,right,18.605156499519573
5,P07,control,Day1,4,left,20.707695831722962
6,P07,control,Day1,4,left,19.439596774285747
7,P07,control,Day1,4,right,19.53968307473224
8,P07,control,Day1,4,left,21.8257313225422
9,P07,control,Day1,4,right,22.876852749529466
0,P07,control,Day2,0,right,22.160393052592553
1,P07,control,Day2,0,left,24.629116658232302
2,P07,control,Day2,0,left,20.59090308403029
3,P07,control,Day2,0,right,22.893776743891074
4,P07,control,Day2,0,left,19.923649078024027
5,P07,control,Day2,0,right,17.787659974956114
6,P07,control,Day2,0,right,15.902087723216027
7,P07,control,Day2,0,left,17.77102001307685
8,P07,control,Day2,0,left,21.792425467596328
9,P07,control,Day2,0,right,18.955696738314145
0,P07,control,Day2,1,right,17.353779126444348
1,P07,control,Day2,1,left,22.109435108515754
2,P07,control,Day2,1,left,19.072789347297658
3,P07,control,Day2,1,right,16.402658272310873
4,P07,control,Day2,1,left,19.639676508813864
5,P07,control,Day2,1,right,13.999989657719198
6,P07,control,Day2,1,right,14.350161626849511
7,P07,control,Day2,1,left,15.601517327340845
8,P07,control,Day2,1,left,20.82455663221663
9,P07,control,Day2,1,right,20.023549370787805
0,P07,control,Day2,2,right,18.672345855024105
1,P07,control,Day2,2,left,19.67335288662616
2,P07,control,Day2,2,left,15.7852540542699
3,P07,control,Day2,2,right,17.137165441616162
4,P07,control,Day2,2,left,16.102542170645393
5,P07,control,Day2,2,right,16.469425731515006
6,P07,control,Day2,2,right,18.121406105698046
7,P07,control,Day2,2,left,18.505193931150643
8,P07,control,Day2,2,left,19.422887771326717
9,P07,control,Day2,2,right,18.038012474320567
0,P07,control,Day2,3,right,18.37164790436691
1,P07,control,Day2,3,left,18.922347482975965
2,P07,control,Day2,3,left,21.8090290399723
3,P07,control,Day2,3,right,19.389509021340924
4,P07,control,Day2,3,left,16.786443033382962
5,P07,control,Day2,3,right,17.73759836178397
6,P07,control,Day2,3,right,18.65532399489348
7,P07,control,Day2,3,left,17.92105010144951
8,P07,control,Day2,3,left,23.02721973092412
9,P07,control,Day2,3,right,18.738791171370394
0,P07,control,Day2,4,right,17.93782106553772
1,P07,control,Day2,4,left,17.003383840687093
2,P07,control,Day2,4,left,18.955695206122986
3,P07,control,Day2,4,right,18.855476984022967
4,P07,control,Day2,4,left,16.81970303867638
5,P07,control,Day2,4,right,18.204826933440927
6,P07,control,Day2,4,right,16.703041358010527
7,P07,control,Day2,4,left,19.57301553678553
8,P07,control,Day2,4,left,16.953414158888336
9,P07,control,Day2,4,right,17.587411990074543
0,P07,control,Day3,0,left,18.860907936545118
1,P07,control,Day3,0,right,17.77089723037716
2,P07,control,Day3,0,left,20.774434287312033
3,P07,control,Day3,0,right,18.77242941878285
4,P07,control,Day3,0,right,18.8889144253626
5,P07,control,Day3,0,left,18.68857466258123
6,P07,control,Day3,0,right,19.07254682272105
7,P07,control,Day3,0,left,18.08798208871667
8,P07,control,Day3,0,right,19.30611630459316
9,P07,control,Day3,0,left,21.775649695766333
0,P07,control,Day3,1,left,18.438383234795765
1,P07,control,Day3,1,right,18.28816058866869
2,P07,control,Day3,1,left,18.33826391562252
3,P07,control,Day3,1,right,16.085607196688215
4,P07,control,Day3,1,right,18.004496972971538
5,P07,control,Day3,1,left,19.990140367608547
6,P07,control,Day3,1,right,17.754255749059666
7,P07,control,Day3,1,left,16.569525155660813
8,P07,control,Day3,1,right,17.9377720831435
9,P07,control,Day3,1,left,19.055803833918617
0,P07,control,Day3,2,left,21.22458587820074
1,P07,control,Day3,2,right,18.137972799824638
2,P07,control,Day3,2,left,21.692257277416502
3,P07,control,Day3,2,right,19.739925190900976
4,P07,control,Day3,2,right,18.254749305251607
5,P07,control,Day3,2,left,32.43806798703008
6,P07,control,Day3,2,right,18.43826985285341
7,P07,control,Day3,2,left,19.639803956495598
8,P07,control,Day3,2,right,19.839976710736664
9,P07,control,Day3,2,left,18.221450254630327
0,P07,control,Day3,3,left,19.706525015848456
1,P07,control,Day3,3,right,17.904427066874632
2,P07,control,Day3,3,left,21.02473641571123
3,P07,control,Day3,3,right,19.923307841549104
4,P07,control,Day3,3,right,19.289373698837153
5,P07,control,Day3,3,left,22.47647037417846
6,P07,control,Day3,3,right,20.37391640763235
7,P07,control,Day3,3,left,20.774384491189267
8,P07,control,Day3,3,right,21.058120502784732
9,P07,control,Day3,3,left,0.01657904464082094
0,P07,control,Day3,4,left,26.030662154371385
1,P07,control,Day3,4,right,20.257178973010014
2,P07,control,Day3,4,left,23.4943115590213
3,P07,control,Day3,4,right,20.090354299416504
4,P07,control,Day3,4,right,22.593329617775453
5,P07,control,Day3,4,left,21.92580262732008
6,P07,control,Day3,4,right,20.17374020596253
7,P07,control,Day3,4,left,25.980613220104715
8,P07,control,Day3,4,right,22.543183389545447
9,P07,control,Day3,4,left,21.241633772497153
