,pid,condition,day,block,hand,RT
0,P09,control,Day1,0,right,12.827385820274685
1,P09,control,Day1,0,left,14.8837680985107
2,P09,control,Day1,0,right,13.265574802835545
3,P09,control,Day1,0,left,15.484884758276165
4,P09,control,Day1,0,right,14.400291039410147
5,P09,control,Day1,0,left,17.12025734656254
6,P09,control,Day1,0,left,15.1512041286378
7,P09,control,Day1,0,right,16.252445470330713
8,P09,control,Day1,0,left,16.753083818814048
9,P09,control,Day1,0,right,15.184579814244895
0,P09,control,Day1,1,right,14.450307452991185
1,P09,control,Day1,1,left,13.532450817671814
2,P09,control,Day1,1,right,14.767412855760085
3,P09,control,Day1,1,left,15.851974781691752
4,P09,control,Day1,1,right,17.57070422880497
5,P09,control,Day1,1,left,16.81983748831226
6,P09,control,Day1,1,left,10.812712040673432
7,P09,control,Day1,1,right,14.133288235886535
8,P09,control,Day1,1,left,15.134538885630718
9,P09,control,Day1,1,right,17.286971447264474
0,P09,control,Day1,2,right,14.850844791877535
1,P09,control,Day1,2,left,16.28586290810381
2,P09,control,Day1,2,right,15.401523302880378
3,P09,control,Day1,2,left,15.051065197349093
4,P09,control,Day1,2,right,15.301306996016136
5,P09,control,Day1,2,left,16.719623479732036
6,P09,control,Day1,2,left,18.121392315992125
7,P09,control,Day1,2,right,17.42054083993753
8,P09,control,Day1,2,left,17.553907600540697
9,P09,control,Day1,2,right,15.718584655198354
0,P09,control,Day1,3,right,15.001034994060321
1,P09,control,Day1,3,left,16.102255651194355
2,P09,control,Day1,3,right,14.21675081579451
3,P09,control,Day1,3,left,15.801912402423113
4,P09,control,Day1,3,right,13.365676961575446
5,P09,control,Day1,3,left,12.414675235180766
6,P09,control,Day1,3,left,14.066574403317645
7,P09,control,Day1,3,right,13.44922611019683
8,P09,control,Day1,3,left,15.234653301888102
9,P09,control,Day1,3,right,13.048702944062825
0,P09,control,Day1,4,right,12.514697337015605
1,P09,control,Day1,4,left,13.098722805070796
2,P09,control,Day1,4,right,12.347849169726032
3,P09,control,Day1,4,left,13.365800685884096
4,P09,control,Day1,4,right,14.183330696689156
5,P09,control,Day1,4,left,13.265614256717527
6,P09,control,Day1,4,left,13.4992586117678
7,P09,control,Day1,4,right,12.54810711384198
8,P09,control,Day1,4,left,12.965228489685614
9,P09,control,Day1,4,right,14.083209002532385
0,P09,control,Day2,0,left,17.50753453937068
1,P09,control,Day2,0,right,17.08681382831128
2,P09,control,Day2,0,right,18.23820635827724
3,P09,control,Day2,0,left,16.102299662456062
4,P09,control,Day2,0,left,19.339520440167693
5,P09,control,Day2,0,right,18.338230720080897
6,P09,control,Day2,0,right,16.119049552522487
7,P09,control,Day2,0,left,13.515785377094288
8,P09,control,Day2,0,right,15.184516157696637
9,P09,control,Day2,0,left,14.233453508022649
0,P09,control,Day2,1,left,16.486077381672658
1,P09,control,Day2,1,right,15.317995866153069
2,P09,control,Day2,1,right,14.517086205549276
3,P09,control,Day2,1,left,15.234599968436667
4,P09,control,Day2,1,left,15.501625652523215
5,P09,control,Day2,1,right,15.351401416661249
6,P09,control,Day2,1,right,16.519457268015685
7,P09,control,Day2,1,left,14.900909124338794
8,P09,control,Day2,1,right,16.219090385362506
9,P09,control,Day2,1,left,18.32159306286121
0,P09,control,Day2,2,left,17.704191379598342
1,P09,control,Day2,2,right,14.700655853495846
2,P09,control,Day2,2,right,16.45210683647383
3,P09,control,Day2,2,left,16.302533014841174
4,P09,control,Day2,2,left,16.402743537611972
5,P09,control,Day2,2,right,16.252572162273278
6,P09,control,Day2,2,right,16.35261874081698
7,P09,control,Day2,2,left,18.187896549661676
8,P09,control,Day2,2,right,16.436019618147842
9,P09,control,Day2,2,left,13.03207063084483
0,P09,control,Day2,3,left,17.186946209440066
1,P09,control,Day2,3,right,16.369317685595888
2,P09,control,Day2,3,right,16.085603399005777
3,P09,control,Day2,3,left,15.685102603038105
4,P09,control,Day2,3,left,16.085517596424324
5,P09,control,Day2,3,right,16.08562561574945
6,P09,control,Day2,3,right,18.32168614334296
7,P09,control,Day2,3,left,18.638742777642623
8,P09,control,Day2,3,right,16.736276183193695
9,P09,control,Day2,3,left,18.538480543495094
0,P09,control,Day2,4,left,20.957916131039386
1,P09,control,Day2,4,right,18.338191266218928
2,P09,control,Day2,4,right,20.824508052417517
3,P09,control,Day2,4,left,15.367722676859556
4,P09,control,Day2,4,left,16.569150753606664
5,P09,control,Day2,4,right,18.77208918565884
6,P09,control,Day2,4,right,18.12145853666516
7,P09,control,Day2,4,left,15.851793657046073
8,P09,control,Day2,4,right,15.90207320492482
9,P09,control,Day2,4,left,15.885464659291756
0,P09,control,Day3,0,right,12.22099144886306
1,P09,control,Day3,0,left,12.598184968912392
2,P09,control,Day3,0,right,13.198833314687363
3,P09,control,Day3,0,left,15.384838760088314
4,P09,control,Day3,0,left,13.732823012251174
5,P09,control,Day3,0,right,15.468140045137261
6,P09,control,Day3,0,left,14.717236053635133
7,P09,control,Day3,0,right,15.768446406320436
8,P09,control,Day3,0,left,12.915292931560543
9,P09,control,Day3,0,right,12.79837388782471
0,P09,control,Day3,1,right,11.69702379948285
1,P09,control,Day3,1,left,14.583850957846153
2,P09,control,Day3,1,right,13.866234921340947
3,P09,control,Day3,1,left,14.667231533661834
4,P09,control,Day3,1,left,14.233379962941399
5,P09,control,Day3,1,right,12.797964027253329
6,P09,control,Day3,1,left,12.948559818963986
7,P09,control,Day3,1,right,14.400336851744214
8,P09,control,Day3,1,left,15.584963710105512
9,P09,control,Day3,1,right,14.984239520970732
0,P09,control,Day3,2,right,15.351343193484354
1,P09,control,Day3,2,left,15.251253713635379
2,P09,control,Day3,2,right,15.768568215353298
3,P09,control,Day3,2,left,12.53127350952127
4,P09,control,Day3,2,left,12.948695034647244
5,P09,control,Day3,2,right,14.567130562427337
6,P09,control,Day3,2,left,15.000935018324526
7,P09,control,Day3,2,right,15.368115300283534
8,P09,control,Day3,2,left,15.101212574372767
9,P09,control,Day3,2,right,15.952031759210513
0,P09,control,Day3,3,right,14.633922894121497
1,P09,control,Day3,3,left,14.633929788979003
2,P09,control,Day3,3,right,16.886576645454625
3,P09,control,Day3,3,left,14.650511904343148
4,P09,control,Day3,3,left,20.59096797571692
5,P09,control,Day3,3,right,14.283507824118715
6,P09,control,Day3,3,left,15.868687955924543
7,P09,control,Day3,3,right,21.892382109552273
8,P09,control,Day3,3,left,16.419339825733914
