,pid,condition,day,block,hand,RT
0,P11,continuous,Day1,0,left,27.775593856847987
1,P11,continuous,Day1,0,right,28.18543379684707
2,P11,continuous,Day1,0,left,32.187946584865124
3,P11,continuous,Day1,0,right,28.250168349139127
4,P11,continuous,Day1,0,right,32.17128863890321
5,P11,continuous,Day1,0,left,30.051848852734107
6,P11,continuous,Day1,0,right,30.09973508472831
7,P11,continuous,Day1,0,left,33.13909813892679
8,P11,continuous,Day1,0,left,28.751754163527952
9,P11,continuous,Day1,0,right,25.114568578046605
0,P11,continuous,Day1,1,left,28.467894536450327
1,P11,continuous,Day1,1,right,25.01277155156277
2,P11,continuous,Day1,1,left,23.177278344133807
3,P11,continuous,Day1,1,right,26.996748314402794
4,P11,continuous,Day1,1,right,27.265309812206397
5,P11,continuous,Day1,1,left,28.8840478563543
6,P11,continuous,Day1,1,right,27.415721625988226
7,P11,continuous,Day1,1,left,33.37179954693055
8,P11,continuous,Day1,1,left,32.00408557881747
9,P11,continuous,Day1,1,right,27.084627329786606
0,P11,continuous,Day1,2,left,27.799416313049733
1,P11,continuous,Day1,2,right,26.998405375528822
2,P11,continuous,Day1,2,left,26.951110951082228
3,P11,continuous,Day1,2,right,30.9365003910898
4,P11,continuous,Day1,2,right,25.277069353716804
5,P11,continuous,Day1,2,left,27.632299438530026
6,P11,continuous,Day1,2,right,30.31672658797833
7,P11,continuous,Day1,2,left,27.015249865358786
8,P11,continuous,Day1,2,left,33.40404558871887
9,P11,continuous,Day1,2,right,26.482160354178628
0,P11,continuous,Day1,3,left,23.377742903478065
1,P11,continuous,Day1,3,right,28.46614439491168
2,P11,continuous,Day1,3,left,24.308746187725767
3,P11,continuous,Day1,3,right,26.0774746940042
4,P11,continuous,Day1,3,right,23.92723180392932
5,P11,continuous,Day1,3,left,24.594404220257267
6,P11,continuous,Day1,3,right,24.228983171215077
7,P11,continuous,Day1,3,left,23.7603298187496
8,P11,continuous,Day1,3,left,26.147285767583533
9,P11,continuous,Day1,3,right,28.465998454023065
0,P11,continuous,Day1,4,left,28.914312779288593
1,P11,continuous,Day1,4,right,23.124035966575324
2,P11,continuous,Day1,4,left,29.60141551171546
3,P11,continuous,Day1,4,right,30.08605609492588
4,P11,continuous,Day1,4,right,24.311990978480026
5,P11,continuous,Day1,4,left,24.11363394347427
6,P11,continuous,Day1,4,right,21.842455468875414
7,P11,continuous,Day1,4,left,27.531983654622305
8,P11,continuous,Day1,4,left,24.16070237021632
9,P11,continuous,Day1,4,right,26.46392310562078
0,P11,continuous,Day2,0,left,20.544866881555212
1,P11,continuous,Day2,0,right,22.47637691068667
2,P11,continuous,Day2,0,left,26.39773006287578
3,P11,continuous,Day2,0,right,24.045225222118457
4,P11,continuous,Day2,0,right,21.592125700735775
5,P11,continuous,Day2,0,left,25.613505474699195
6,P11,continuous,Day2,0,left,27.59924080064593
7,P11,continuous,Day2,0,right,24.01158334434513
8,P11,continuous,Day2,0,left,23.694522617970506
9,P11,continuous,Day2,0,right,30.285755435917963
0,P11,continuous,Day2,1,left,21.775647397484136
1,P11,continuous,Day2,1,right,21.992663498866023
2,P11,continuous,Day2,1,left,24.879327905557147
3,P11,continuous,Day2,1,right,23.360755292276732
4,P11,continuous,Day2,1,right,26.364475445723656
5,P11,continuous,Day2,1,left,24.912715057005702
6,P11,continuous,Day2,1,left,27.09862620156855
7,P11,continuous,Day2,1,right,25.747043355186182
8,P11,continuous,Day2,1,left,23.24412089732868
9,P11,continuous,Day2,1,right,25.84719255203527
0,P11,continuous,Day2,2,left,21.77597988236812
1,P11,continuous,Day2,2,right,21.893150160212823
2,P11,continuous,Day2,2,left,25.41336604555545
3,P11,continuous,Day2,2,right,29.768406275077723
4,P11,continuous,Day2,2,right,23.210694675068225
5,P11,continuous,Day2,2,left,22.509914216600013
6,P11,continuous,Day2,2,left,22.242943410536103
7,P11,continuous,Day2,2,right,24.49550973035366
8,P11,continuous,Day2,2,left,29.484799733400003
9,P11,continuous,Day2,2,right,26.714878123988452
0,P11,continuous,Day2,3,left,21.458863231116997
1,P11,continuous,Day2,3,right,23.294203539739105
2,P11,continuous,Day2,3,left,24.295186821647807
3,P11,continuous,Day2,3,right,25.730325647491554
4,P11,continuous,Day2,3,right,24.078423914397717
5,P11,continuous,Day2,3,left,27.59927029527171
6,P11,continuous,Day2,3,left,27.265530165917877
7,P11,continuous,Day2,3,right,35.25830896195839
8,P11,continuous,Day2,3,left,25.913835086732437
9,P11,continuous,Day2,3,right,27.7494098201787
0,P11,continuous,Day2,4,left,24.261944845049587
1,P11,continuous,Day2,4,right,22.91038498148919
2,P11,continuous,Day2,4,left,24.345349137856825
3,P11,continuous,Day2,4,right,26.898388329318554
4,P11,continuous,Day2,4,right,30.15237077427082
5,P11,continuous,Day2,4,left,25.563526638055922
6,P11,continuous,Day2,4,left,36.64364591892081
7,P11,continuous,Day2,4,right,28.300085227980162
8,P11,continuous,Day2,4,left,29.23452403524789
9,P11,continuous,Day2,4,right,22.960428170048548
