,pid,hand,lateral,day,block,fatigue,concentrate,difficulty,prediction,sleepiness,visualScale,kinethesticScale
0,T01,right,right,Day2,0,4,4,4,21,4,3,3
1,T01,right,right,Day2,1,4,4,4,2,4,3,3
2,T01,right,right,Day2,2,4,4,4,3,4,3,3
