,pid,condition,ques_num,response
0,P11,control,1,1
1,P11,control,2,1
2,P11,control,3,1
3,P11,control,4,1
4,P11,control,5,1
5,P11,control,6,1
6,P11,control,7,0
7,P11,control,8,1
8,P11,control,9,1
9,P11,control,10,1
