,pid,condition,timing,view,hand,face,angle,response,RT
0,P14,control,pre,0,left,palm,180,True,2.4477309447684092
1,P14,control,pre,0,right,back,180,True,2.240443553062505
2,P14,control,pre,0,right,palm,120,False,2.320307310903445
3,P14,control,pre,0,left,back,0,True,1.077178598701721
4,P14,control,pre,0,right,back,300,True,0.9339818573644152
5,P14,control,pre,0,right,palm,180,True,2.4756677083059913
6,P14,control,pre,0,left,palm,240,True,5.442179445235524
7,P14,control,pre,0,left,back,180,True,1.7989754260051996
8,P14,control,pre,0,right,back,240,True,2.657613479575957
9,P14,control,pre,0,right,palm,0,True,1.4964208092569606
10,P14,control,pre,0,right,back,120,True,1.183603598488844
11,P14,control,pre,0,right,back,60,True,0.770304744495661
12,P14,control,pre,0,left,back,60,True,0.9267790424200939
13,P14,control,pre,0,left,palm,300,True,3.8208853287651436
14,P14,control,pre,0,right,back,0,True,0.6278909511311213
15,P14,control,pre,0,right,palm,60,True,1.4546882265858585
16,P14,control,pre,0,right,palm,240,False,1.8629530775215244
17,P14,control,pre,0,left,palm,60,False,5.142073647657526
18,P14,control,pre,0,right,palm,300,False,2.9986007294792216
19,P14,control,pre,0,left,back,300,True,1.1759281036211178
20,P14,control,pre,0,left,back,120,True,2.283921680675121
21,P14,control,pre,0,left,palm,0,True,2.2987088253285037
22,P14,control,pre,0,left,palm,120,False,4.033599346672418
23,P14,control,pre,0,left,back,240,True,1.5283458576886915
24,P14,control,pre,1,left,back,180,True,4.029711420094827
25,P14,control,pre,1,left,palm,300,True,2.700953710314934
26,P14,control,pre,1,left,palm,120,False,2.5146216683497187
27,P14,control,pre,1,right,back,0,True,0.6557545527030015
28,P14,control,pre,1,left,palm,60,True,1.440973613440292
29,P14,control,pre,1,left,palm,0,True,1.0746868782734964
30,P14,control,pre,1,left,palm,180,False,1.4108017709077103
31,P14,control,pre,1,left,back,60,True,1.2851910982863046
32,P14,control,pre,1,right,palm,60,True,1.5563684237422422
33,P14,control,pre,1,right,palm,180,False,1.3848078215087298
34,P14,control,pre,1,left,palm,240,True,1.1389751808601432
35,P14,control,pre,1,right,back,60,True,1.0318032395007322
36,P14,control,pre,1,left,back,300,True,0.9540435585804516
37,P14,control,pre,1,left,back,240,True,1.038787717669038
38,P14,control,pre,1,left,back,120,True,9.616565018775873
39,P14,control,pre,1,right,back,300,True,1.1613899395015324
40,P14,control,pre,1,right,back,240,True,1.430583464782103
41,P14,control,pre,1,right,back,120,True,1.2483618997066515
42,P14,control,pre,1,left,back,0,True,0.986174303223379
43,P14,control,pre,1,right,palm,300,True,0.8619104237004649
44,P14,control,pre,1,right,palm,0,True,0.7591676542942878
45,P14,control,pre,1,right,palm,240,False,1.1323488515918143
46,P14,control,pre,1,right,palm,120,False,1.666146233532345
47,P14,control,pre,1,right,back,180,True,1.658263510253164
48,P14,control,pre,2,left,back,60,True,0.7064538815320702
49,P14,control,pre,2,left,back,300,True,0.9300889511650894
50,P14,control,pre,2,left,palm,60,True,2.5678050566784805
51,P14,control,pre,2,right,palm,240,False,1.5382365131081315
52,P14,control,pre,2,left,back,0,True,0.7033718857419444
53,P14,control,pre,2,left,palm,240,True,2.206361184173147
54,P14,control,pre,2,right,back,120,True,1.0247727956884773
55,P14,control,pre,2,left,back,240,True,1.0035060287773376
56,P14,control,pre,2,left,palm,120,True,5.350352364897844
57,P14,control,pre,2,right,palm,120,True,1.1994686372636352
58,P14,control,pre,2,right,palm,60,True,3.146903869768721
59,P14,control,pre,2,right,back,300,True,1.077685369833489
60,P14,control,pre,2,left,palm,180,True,2.029962698885356
61,P14,control,pre,2,right,palm,180,True,1.6230630273057614
62,P14,control,pre,2,right,back,60,False,0.8086320397414966
63,P14,control,pre,2,right,back,240,False,0.8437141611793777
64,P14,control,pre,2,left,back,180,True,1.6852981982228812
65,P14,control,pre,2,right,palm,0,True,1.908046897209715
66,P14,control,pre,2,left,palm,300,False,1.513895028285333
67,P14,control,pre,2,left,back,120,True,3.1682499274174916
68,P14,control,pre,2,right,back,0,True,0.8992295393545646
69,P14,control,pre,2,right,back,180,True,4.139043746268726
70,P14,control,pre,2,right,palm,300,False,1.6847684442764148
71,P14,control,pre,2,left,palm,0,False,3.187676153713255
