,pid,condition,day,block,hand,RT
0,P12,continuous,Day1,0,left,12.04568103067868
1,P12,continuous,Day1,0,right,10.161919310397934
2,P12,continuous,Day1,0,left,10.428922956227323
3,P12,continuous,Day1,0,right,10.095200957926863
4,P12,continuous,Day1,0,left,11.029537516762502
5,P12,continuous,Day1,0,right,8.893793336974339
6,P12,continuous,Day1,0,right,10.695896724413616
7,P12,continuous,Day1,0,left,11.062963726224554
8,P12,continuous,Day1,0,right,8.676894531090513
9,P12,continuous,Day1,0,left,11.129792779262061
0,P12,continuous,Day1,1,left,9.87815467895416
1,P12,continuous,Day1,1,right,10.462284430745056
2,P12,continuous,Day1,1,left,9.21075358359667
3,P12,continuous,Day1,1,right,10.044933323013536
4,P12,continuous,Day1,1,left,11.680345401095106
5,P12,continuous,Day1,1,right,9.694638415166992
6,P12,continuous,Day1,1,right,10.51226592958119
7,P12,continuous,Day1,1,left,10.278640229269511
8,P12,continuous,Day1,1,right,11.229840047250038
9,P12,continuous,Day1,1,left,8.72695532063517
0,P12,continuous,Day1,2,left,8.676706071979424
1,P12,continuous,Day1,2,right,9.144006502603588
2,P12,continuous,Day1,2,left,9.828144451603293
3,P12,continuous,Day1,2,right,9.894729886778805
4,P12,continuous,Day1,2,left,9.895040154813612
5,P12,continuous,Day1,2,right,9.22742646838742
6,P12,continuous,Day1,2,right,10.996213197809992
7,P12,continuous,Day1,2,left,10.028396036839695
8,P12,continuous,Day1,2,right,10.161800948881137
9,P12,continuous,Day1,2,left,8.827020208795147
0,P12,continuous,Day1,3,left,8.977189936900686
1,P12,continuous,Day1,3,right,10.2286457068476
2,P12,continuous,Day1,3,left,10.04518421877583
3,P12,continuous,Day1,3,right,10.178679912940423
4,P12,continuous,Day1,3,left,10.262084556852642
5,P12,continuous,Day1,3,right,10.946065456599172
6,P12,continuous,Day1,3,right,11.446860662072144
7,P12,continuous,Day1,3,left,8.610340888801147
8,P12,continuous,Day1,3,right,11.363432269259649
9,P12,continuous,Day1,3,left,11.112937564110325
0,P12,continuous,Day1,4,left,9.47777178522665
1,P12,continuous,Day1,4,right,10.111865032638887
2,P12,continuous,Day1,4,left,10.829367520535016
3,P12,continuous,Day1,4,right,9.661229825876942
4,P12,continuous,Day1,4,left,10.612512765037536
5,P12,continuous,Day1,4,right,10.045108375474227
6,P12,continuous,Day1,4,right,10.495601471826378
7,P12,continuous,Day1,4,left,10.612462968936596
8,P12,continuous,Day1,4,right,10.345517546236808
9,P12,continuous,Day1,4,left,11.663544961666048
0,P12,continuous,Day2,0,right,12.10485880113265
1,P12,continuous,Day2,0,left,11.229835243706477
2,P12,continuous,Day2,0,left,12.114345732319634
3,P12,continuous,Day2,0,right,10.595854892511852
4,P12,continuous,Day2,0,right,9.394385063613301
5,P12,continuous,Day2,0,left,10.378861690827762
6,P12,continuous,Day2,0,left,11.363401903901831
7,P12,continuous,Day2,0,right,9.828197180468123
8,P12,continuous,Day2,0,left,9.711463531610207
9,P12,continuous,Day2,0,right,12.164280920726016
0,P12,continuous,Day2,1,right,10.962970822525675
1,P12,continuous,Day2,1,left,10.428816031591849
2,P12,continuous,Day2,1,left,12.04754497358226
3,P12,continuous,Day2,1,right,12.698380552843444
4,P12,continuous,Day2,1,right,10.929453422213557
5,P12,continuous,Day2,1,left,12.147627175509115
6,P12,continuous,Day2,1,left,11.02959499649296
7,P12,continuous,Day2,1,right,13.51591829447716
8,P12,continuous,Day2,1,left,12.014181175225529
9,P12,continuous,Day2,1,right,11.480260809214089
0,P12,continuous,Day2,2,right,9.844888847350378
1,P12,continuous,Day2,2,left,11.73050366116513
2,P12,continuous,Day2,2,left,10.211968387870002
3,P12,continuous,Day2,2,right,8.960462246104727
4,P12,continuous,Day2,2,right,10.662547248866758
5,P12,continuous,Day2,2,left,11.530188336662832
6,P12,continuous,Day2,2,left,10.295458898268409
7,P12,continuous,Day2,2,right,9.494427811689093
8,P12,continuous,Day2,2,left,8.92716509794991
