,pid,condition,day,block,hand,RT
5,P03,continuous,Day3,1,right,21.358545739247347
6,P03,continuous,Day3,1,left,30.636192344740266
7,P03,continuous,Day3,1,right,21.141497162010637
8,P03,continuous,Day3,1,left,18.97231949486013
9,P03,continuous,Day3,1,right,16.018760873746942
0,P03,continuous,Day3,2,left,17.186899334497866
1,P03,continuous,Day3,2,right,25.129590913522406
2,P03,continuous,Day3,2,left,25.76369488624914
3,P03,continuous,Day3,2,right,23.594465124726412
4,P03,continuous,Day3,2,left,19.22259586324799
5,P03,continuous,Day3,2,right,25.54675547737861
6,P03,continuous,Day3,2,left,23.093943797808606
7,P03,continuous,Day3,2,right,27.549123473654618
8,P03,continuous,Day3,2,left,31.053230886143865
9,P03,continuous,Day3,2,right,27.983015698031522
0,P03,continuous,Day3,3,left,15.718158264266094
1,P03,continuous,Day3,3,right,22.943771005331655
2,P03,continuous,Day3,3,left,24.028206811650307
3,P03,continuous,Day3,3,right,29.00087909276772
4,P03,continuous,Day3,3,left,43.30117181723472
5,P03,continuous,Day3,3,right,31.453823306568665
6,P03,continuous,Day3,3,left,17.90445353371615
7,P03,continuous,Day3,3,right,0.01659512626065407
8,P03,continuous,Day3,3,left,26.030591661983635
9,P03,continuous,Day3,3,right,14.416810628477833
0,P03,continuous,Day3,4,left,19.155939564385335
1,P03,continuous,Day3,4,right,23.577862337508122
2,P03,continuous,Day3,4,left,16.252488464539056
3,P03,continuous,Day3,4,right,17.77094136852247
4,P03,continuous,Day3,4,left,17.820950063702185
5,P03,continuous,Day3,4,right,18.738637869711965
6,P03,continuous,Day3,4,left,19.38951853296021
7,P03,continuous,Day3,4,right,29.78513785476389
8,P03,continuous,Day3,4,left,16.836584125150694
9,P03,continuous,Day3,4,right,19.40618069244374
