,pid,condition,day,timing,block,hand,RT
0,P06,continuous,Day1,pre,0,right,13.11246378
1,P06,continuous,Day1,pre,0,left,14.41127308
2,P06,continuous,Day1,pre,1,right,12.26405275
3,P06,continuous,Day1,pre,1,left,13.81267771
4,P06,continuous,Day1,pre,2,left,17.61124933
5,P06,continuous,Day1,pre,2,right,15.56243342
6,P06,continuous,Day1,pre,3,right,19.37097116
7,P06,continuous,Day1,pre,3,left,17.55732817
8,P06,continuous,Day1,pre,4,right,14.61362728
9,P06,continuous,Day1,pre,4,left,19.20968305
0,P06,continuous,Day1,post,0,right,12.98277667
1,P06,continuous,Day1,post,0,left,14.39093021
2,P06,continuous,Day1,post,1,left,16.53770352
3,P06,continuous,Day1,post,1,right,14.40787392
4,P06,continuous,Day1,post,2,right,16.46201724
5,P06,continuous,Day1,post,2,left,16.94714525
6,P06,continuous,Day1,post,3,right,13.03218745
7,P06,continuous,Day1,post,3,left,12.27000799
8,P06,continuous,Day1,post,4,right,13.91931764
9,P06,continuous,Day1,post,4,left,18.81685484
0,P06,continuous,Day2,pre,0,right,15.31190467
1,P06,continuous,Day2,pre,0,left,16.19715458
2,P06,continuous,Day2,pre,1,right,16.21736719
3,P06,continuous,Day2,pre,1,left,16.5923838
4,P06,continuous,Day2,pre,2,left,15.04112582
5,P06,continuous,Day2,pre,2,right,16.55369263
6,P06,continuous,Day2,pre,3,right,13.04549677
7,P06,continuous,Day2,pre,3,left,12.40621999
8,P06,continuous,Day2,pre,4,left,13.65420373
9,P06,continuous,Day2,pre,4,right,11.91156675
0,P06,continuous,Day2,post,0,left,11.59440667
1,P06,continuous,Day2,post,0,right,14.75614627
2,P06,continuous,Day2,post,1,left,17.67498555
3,P06,continuous,Day2,post,1,right,15.9901059
4,P06,continuous,Day2,post,2,right,13.45915553
5,P06,continuous,Day2,post,2,left,16.19170382
6,P06,continuous,Day2,post,3,left,20.62765973
7,P06,continuous,Day2,post,3,right,24.30139655
8,P06,continuous,Day2,post,4,left,13.80322004
9,P06,continuous,Day2,post,4,right,18.50143279
0,P06,continuous,Day3,pre,0,left,16.346181882256133
1,P06,continuous,Day3,pre,0,right,13.215989535154224
2,P06,continuous,Day3,pre,1,left,12.267995457061259
3,P06,continuous,Day3,pre,1,right,13.048458905750522
4,P06,continuous,Day3,pre,2,left,13.10996286358386
5,P06,continuous,Day3,pre,2,right,13.58872309333492
6,P06,continuous,Day3,pre,3,right,13.45120037385459
7,P06,continuous,Day3,pre,3,left,12.975532483351346
8,P06,continuous,Day3,pre,4,left,13.616459150900484
9,P06,continuous,Day3,pre,4,right,14.788608562252193
0,P06,continuous,Day3,post,0,left,16.292725360974146
1,P06,continuous,Day3,post,0,right,17.880541398775676
2,P06,continuous,Day3,post,1,left,17.979289792368945
3,P06,continuous,Day3,post,1,right,16.889953632147808
4,P06,continuous,Day3,post,2,left,15.201437575771706
5,P06,continuous,Day3,post,2,right,16.746176136548456
6,P06,continuous,Day3,post,3,right,20.6929957922257
7,P06,continuous,Day3,post,3,left,25.56735481078431
8,P06,continuous,Day3,post,4,right,19.03769528220073
9,P06,continuous,Day3,post,4,left,19.373226156756573
