,pid,condition,timing,view,hand,face,angle,response,RT
14,Yu,continuous,post,0,left,back,300,True,0.5422780739154405
15,Yu,continuous,post,0,left,back,0,True,0.572284080096324
16,Yu,continuous,post,0,left,palm,60,False,0.7285957028225312
17,Yu,continuous,post,0,right,palm,60,False,0.7588277068798561
18,Yu,continuous,post,0,right,back,0,True,0.5321928229204786
19,Yu,continuous,post,0,left,palm,300,True,0.6580924093823342
20,Yu,continuous,post,0,right,palm,180,False,0.6993757095942783
21,Yu,continuous,post,0,left,palm,120,False,0.930818985660153
22,Yu,continuous,post,0,right,palm,240,False,0.6330648682851461
23,Yu,continuous,post,0,left,back,60,True,0.635643159312167
24,Yu,continuous,post,1,right,palm,60,True,0.8144618722426458
25,Yu,continuous,post,1,left,back,240,True,0.6734012757005985
26,Yu,continuous,post,1,right,palm,120,False,0.7941285751712712
27,Yu,continuous,post,1,right,back,0,True,0.48587436663183325
28,Yu,continuous,post,1,left,back,120,True,0.6707379481849784
29,Yu,continuous,post,1,right,palm,240,False,0.7350347270630664
30,Yu,continuous,post,1,left,back,180,False,0.7893301422936929
31,Yu,continuous,post,1,right,palm,300,True,0.7530348833461176
32,Yu,continuous,post,1,left,palm,0,True,0.8303357332524683
33,Yu,continuous,post,1,left,palm,120,False,0.5852827884618819
34,Yu,continuous,post,1,left,back,300,True,0.5566817995868405
35,Yu,continuous,post,1,right,palm,180,True,0.49009478121115535
36,Yu,continuous,post,1,right,back,120,True,0.594961626326949
37,Yu,continuous,post,1,right,back,300,True,0.5108613047204926
38,Yu,continuous,post,1,left,palm,60,True,0.6624361651756772
39,Yu,continuous,post,1,right,back,180,True,0.7517892136957016
40,Yu,continuous,post,1,left,back,0,True,0.492914008957996
41,Yu,continuous,post,1,left,palm,180,False,0.645047352300935
42,Yu,continuous,post,1,left,back,60,True,0.5829841219256195
43,Yu,continuous,post,1,right,back,60,True,0.4591437974686414
44,Yu,continuous,post,1,right,back,240,True,0.5407068141039417
45,Yu,continuous,post,1,right,palm,0,False,0.5787085485417265
46,Yu,continuous,post,1,left,palm,240,False,0.5349346751227131
47,Yu,continuous,post,1,left,palm,300,True,0.6610587272725752
48,Yu,continuous,post,2,left,back,0,True,0.5743510030470134
49,Yu,continuous,post,2,left,back,60,True,0.5229085237206164
50,Yu,continuous,post,2,left,palm,120,False,0.6258877119971658
51,Yu,continuous,post,2,left,palm,60,False,0.5004918326667394
52,Yu,continuous,post,2,left,palm,0,False,0.72374517551998
53,Yu,continuous,post,2,right,palm,0,True,0.6105121954587958
54,Yu,continuous,post,2,right,back,180,True,0.7657053202192401
55,Yu,continuous,post,2,right,back,60,True,0.5798006162458478
56,Yu,continuous,post,2,left,palm,300,False,0.609104113774265
57,Yu,continuous,post,2,left,back,120,True,0.5484206195860679
58,Yu,continuous,post,2,right,back,0,True,0.4355657071582755
59,Yu,continuous,post,2,left,palm,240,False,0.5323016083384573
60,Yu,continuous,post,2,right,palm,60,True,0.5876040547855155
61,Yu,continuous,post,2,left,back,300,True,0.5602682709704823
62,Yu,continuous,post,2,right,palm,120,False,0.5256791044666898
63,Yu,continuous,post,2,left,back,240,True,0.5797829960729359
64,Yu,continuous,post,2,right,palm,300,False,0.6252035896122834
65,Yu,continuous,post,2,right,palm,240,False,0.6439790335261932
66,Yu,continuous,post,2,right,back,240,True,0.4858272518204103
67,Yu,continuous,post,2,right,back,120,True,0.47100179112931073
68,Yu,continuous,post,2,right,back,300,True,0.424494492546728
69,Yu,continuous,post,2,right,palm,180,True,0.7311471805423935
70,Yu,continuous,post,2,left,back,180,False,0.7376260416967853
71,Yu,continuous,post,2,left,palm,180,True,0.7923791983894262
