,pid,condition,day,block,hand,RT
0,P01,control,Day1,0,left,16.458614665250934
1,P01,control,Day1,0,right,24.72919816429203
2,P01,control,Day1,0,right,21.80909636576689
3,P01,control,Day1,0,left,18.588485919390223
4,P01,control,Day1,0,left,36.27613844384177
5,P01,control,Day1,0,right,24.57899095511675
6,P01,control,Day1,0,left,22.743685760651715
7,P01,control,Day1,0,right,25.71441677101393
8,P01,control,Day1,0,left,21.525699184916448
9,P01,control,Day1,0,right,14.800735986136715
0,P01,control,Day1,1,left,25.329932005362934
1,P01,control,Day1,1,right,14.200097523716977
2,P01,control,Day1,1,right,20.67433590217115
3,P01,control,Day1,1,left,20.390730726903712
4,P01,control,Day1,1,left,25.246429716455168
5,P01,control,Day1,1,right,15.201247047181823
6,P01,control,Day1,1,left,20.824517830260447
7,P01,control,Day1,1,right,36.45970864694391
8,P01,control,Day1,1,left,34.173663463501725
9,P01,control,Day1,1,right,28.9173806339968
0,P01,control,Day1,2,left,12.748292281568865
1,P01,control,Day1,2,right,23.394340560014825
2,P01,control,Day1,2,right,8.993894999977783
3,P01,control,Day1,2,left,24.896028838833445
4,P01,control,Day1,2,left,16.25241252455453
5,P01,control,Day1,2,right,17.90446314649307
6,P01,control,Day1,2,left,14.216796449312824
7,P01,control,Day1,2,right,16.702877868970972
8,P01,control,Day1,2,left,16.586216367053567
9,P01,control,Day1,2,right,13.082038667038432
0,P01,control,Day1,3,left,22.843576707222383
1,P01,control,Day1,3,right,27.081845994500327
2,P01,control,Day1,3,right,23.31077430229925
3,P01,control,Day1,3,left,21.074875308695482
4,P01,control,Day1,3,left,27.01519201946212
5,P01,control,Day1,3,right,13.332414531716495
6,P01,control,Day1,3,left,17.90428311449068
7,P01,control,Day1,3,right,15.918854215065949
8,P01,control,Day1,3,left,23.110502492287196
9,P01,control,Day1,3,right,13.41582488938002
0,P01,control,Day1,4,left,17.537254174923874
1,P01,control,Day1,4,right,16.55286371539114
2,P01,control,Day1,4,right,17.220294815808302
3,P01,control,Day1,4,left,16.26920108309423
4,P01,control,Day1,4,left,22.526421994247357
5,P01,control,Day1,4,right,11.630393538463977
6,P01,control,Day1,4,left,24.912720869571785
7,P01,control,Day1,4,right,8.343079703990952
8,P01,control,Day1,4,left,40.08070872853568
9,P01,control,Day1,4,right,11.780573934345739
