,pid,condition,day,timing,block,hand,RT
0,P16,continuous,Day1,pre,0,right,9.52257009283494
1,P16,continuous,Day1,pre,0,left,12.830412407660331
2,P16,continuous,Day1,pre,1,left,12.065791404042098
3,P16,continuous,Day1,pre,1,right,11.083696940790103
4,P16,continuous,Day1,pre,2,left,13.296274675420134
5,P16,continuous,Day1,pre,2,right,11.846214249737384
6,P16,continuous,Day1,pre,3,left,14.027448006141643
7,P16,continuous,Day1,pre,3,right,9.511633331996565
8,P16,continuous,Day1,pre,4,right,11.570932853755947
9,P16,continuous,Day1,pre,4,left,10.521525906427996
0,P16,continuous,Day1,post,0,right,11.320819184526046
1,P16,continuous,Day1,post,0,left,11.420931225809907
2,P16,continuous,Day1,post,1,right,14.64115075010341
3,P16,continuous,Day1,post,1,left,14.364900628002946
4,P16,continuous,Day1,post,2,right,13.293120665584865
5,P16,continuous,Day1,post,2,left,10.272429610304243
6,P16,continuous,Day1,post,3,left,12.237344028006193
7,P16,continuous,Day1,post,3,right,14.55591702433594
8,P16,continuous,Day1,post,4,left,12.139229577369404
9,P16,continuous,Day1,post,4,right,13.12613932572276
0,P16,continuous,Day2,pre,0,left,23.525321721390355
1,P16,continuous,Day2,pre,0,right,10.553116778843103
2,P16,continuous,Day2,pre,1,left,12.748458234826105
3,P16,continuous,Day2,pre,1,right,14.092971695878074
4,P16,continuous,Day2,pre,2,left,12.937306273845026
5,P16,continuous,Day2,pre,2,right,15.290385437489025
6,P16,continuous,Day2,pre,3,right,12.576257812266705
7,P16,continuous,Day2,pre,3,left,14.411599589977412
8,P16,continuous,Day2,pre,4,right,16.231903315754607
9,P16,continuous,Day2,pre,4,left,19.718218569818426
0,P16,continuous,Day2,post,0,right,13.602192792284768
1,P16,continuous,Day2,post,0,left,13.344830624177119
2,P16,continuous,Day2,post,1,right,12.630311141663695
3,P16,continuous,Day2,post,1,left,11.125272155040877
4,P16,continuous,Day2,post,2,left,15.070382250531113
5,P16,continuous,Day2,post,2,right,18.216468809987425
6,P16,continuous,Day2,post,3,right,14.26598762604408
7,P16,continuous,Day2,post,3,left,16.032879626669455
8,P16,continuous,Day2,post,4,right,13.352361716155428
9,P16,continuous,Day2,post,4,left,13.041523470834365
0,P16,continuous,Day3,pre,0,left,10.56832703667169
1,P16,continuous,Day3,pre,0,right,12.037787625500641
2,P16,continuous,Day3,pre,1,right,11.118265883156711
3,P16,continuous,Day3,pre,1,left,12.7246241634748
4,P16,continuous,Day3,pre,2,left,13.55470127474473
5,P16,continuous,Day3,pre,2,right,12.87387398430292
6,P16,continuous,Day3,pre,3,right,8.175094028560125
7,P16,continuous,Day3,pre,3,left,9.816434112210118
8,P16,continuous,Day3,pre,4,right,11.931763170989143
9,P16,continuous,Day3,pre,4,left,10.702981219568755
0,P16,continuous,Day3,post,0,right,13.402051525237766
1,P16,continuous,Day3,post,0,left,10.77668375185749
2,P16,continuous,Day3,post,1,left,12.136533413417055
3,P16,continuous,Day3,post,1,right,11.667426377334777
4,P16,continuous,Day3,post,2,left,12.342122611175
5,P16,continuous,Day3,post,2,right,13.176733471409534
6,P16,continuous,Day3,post,3,right,12.03769186365389
7,P16,continuous,Day3,post,3,left,15.276045403374155
8,P16,continuous,Day3,post,4,right,13.489970478538453
9,P16,continuous,Day3,post,4,left,13.373064413630345
