,timing,block,hand,RT
0,pre,0,right,0.5080798040326044
1,pre,0,left,0.3545755933882901
0,Day1,0,left,33.55135761468955
1,Day1,0,right,0.3999222414386168
0,Day2,0,right,36.47785815382667
1,Day2,0,left,1.9238418092099887
0,Day3,0,right,19.855846352147637
1,Day3,0,left,2.6336127661961655
