,pid,condition,ques_num,response
0,Yu,continuous,1,1
1,Yu,continuous,2,0
2,Yu,continuous,3,1
3,Yu,continuous,4,1
4,Yu,continuous,5,1
5,Yu,continuous,6,1
6,Yu,continuous,7,0
7,Yu,continuous,8,1
8,Yu,continuous,9,1
9,Yu,continuous,10,1
