,day,block,trial,C4,C3
0,Day1,0,0,929.5525239182516,1182.9069172515774
1,Day1,0,0,,
2,Day1,0,0,860.4213773219037,1478.2239176822613
3,Day1,0,0,,
4,Day1,0,0,,
5,Day1,0,0,,
6,Day1,0,0,,
7,Day1,0,0,1264.6115918622008,675.8553491268582
8,Day1,0,0,1504.8744008163253,2220.2306897368508
9,Day1,0,0,939.6577879728006,1575.0425083607583
0,Day1,0,1,2924.936028915932,2018.5196343888074
1,Day1,0,1,,
2,Day1,0,1,,
3,Day1,0,1,,
4,Day1,0,1,,
5,Day1,0,1,889.2699994648807,2012.142694000036
6,Day1,0,1,613.2280002746636,810.8762779883772
7,Day1,0,1,,
8,Day1,0,1,,
9,Day1,0,1,,
0,Day1,0,2,2104.095358750968,688.7151809207295
1,Day1,0,2,,
2,Day1,0,2,1084.4807057547591,977.9154514484213
3,Day1,0,2,,
4,Day1,0,2,,
5,Day1,0,2,,
6,Day1,0,2,,
7,Day1,0,2,,
8,Day1,0,2,5026.032178171545,1703.6694642727707
9,Day1,0,2,,
0,Day1,0,3,1403.9501245719614,1885.6899167750187
1,Day1,0,3,,
2,Day1,0,3,,
3,Day1,0,3,,
4,Day1,0,3,7606.731849437975,2128.1261828760753
5,Day1,0,3,3700.180631676173,1303.5969244983635
6,Day1,0,3,,
7,Day1,0,3,,
8,Day1,0,3,,
9,Day1,0,3,798.9097836992357,2922.4214640621417
0,Day1,0,4,536.8691858693921,1184.7517483295892
1,Day1,0,4,,
2,Day1,0,4,,
3,Day1,0,4,,
4,Day1,0,4,,
5,Day1,0,4,,
6,Day1,0,4,,
7,Day1,0,4,,
8,Day1,0,4,342.59274748338044,1276.4016380652115
9,Day1,0,4,,
0,Day1,0,5,1687.8162781391034,1235.6962244172346
1,Day1,0,5,,
2,Day1,0,5,,
3,Day1,0,5,,
4,Day1,0,5,,
5,Day1,0,5,,
6,Day1,0,5,,
7,Day1,0,5,693.8591432129448,1104.7830397283842
8,Day1,0,5,1175.402934791453,1135.7761062839736
9,Day1,0,5,,
0,Day1,0,6,2471.053959194129,1027.9757494117327
1,Day1,0,6,,
2,Day1,0,6,1003.3066568055632,949.4582147271584
3,Day1,0,6,,
4,Day1,0,6,,
5,Day1,0,6,,
6,Day1,0,6,,
7,Day1,0,6,1033.138952515138,3124.7781739388206
8,Day1,0,6,,
9,Day1,0,6,,
0,Day1,0,7,1775.2172438955613,1522.0917716488102
1,Day1,0,7,,
2,Day1,0,7,1681.2645352692853,2037.5567781642897
3,Day1,0,7,,
4,Day1,0,7,1184.799653941986,741.2506023060107
5,Day1,0,7,,
6,Day1,0,7,,
7,Day1,0,7,1170.4923380441928,878.9504569450667
8,Day1,0,7,,
9,Day1,0,7,1920.7300430433802,791.4634791749955
0,Day1,0,8,3019.622304116684,2981.102625057813
1,Day1,0,8,3353.3666674247884,3181.297046488036
2,Day1,0,8,8832.799927019187,4818.0377741526345
3,Day1,0,8,,
4,Day1,0,8,,
5,Day1,0,8,,
6,Day1,0,8,,
7,Day1,0,8,437.0521657931781,504.40024943218367
8,Day1,0,8,,
9,Day1,0,8,,
0,Day1,0,9,1386.8557442502845,1062.7740097684186
1,Day1,0,9,,
2,Day1,0,9,,
3,Day1,0,9,,
4,Day1,0,9,,
5,Day1,0,9,,
6,Day1,0,9,,
7,Day1,0,9,,
8,Day1,0,9,,
9,Day1,0,9,,
0,Day1,1,0,952.584155693315,1752.1056677751785
1,Day1,1,0,,
2,Day1,1,0,,
3,Day1,1,0,,
4,Day1,1,0,,
5,Day1,1,0,,
6,Day1,1,0,,
7,Day1,1,0,,
8,Day1,1,0,,
9,Day1,1,0,,
0,Day1,1,1,2412.1722170597104,836.5052748571362
1,Day1,1,1,,
2,Day1,1,1,,
3,Day1,1,1,936.3871177617652,838.6711816051265
4,Day1,1,1,,
5,Day1,1,1,,
6,Day1,1,1,,
7,Day1,1,1,,
8,Day1,1,1,721.2718684457174,1741.6259268928713
9,Day1,1,1,,
0,Day1,1,2,2373.051640629021,1672.3493046367373
1,Day1,1,2,1097.1404646569301,1128.3605666210126
2,Day1,1,2,,
3,Day1,1,2,1062.6003095289211,991.322864567274
4,Day1,1,2,3512.6854654687177,3647.7270786579043
5,Day1,1,2,,
6,Day1,1,2,909.2052177735164,1654.7555769464636
7,Day1,1,2,,
8,Day1,1,2,,
9,Day1,1,2,,
0,Day1,1,3,1813.2883461453207,934.9411887150177
1,Day1,1,3,1978.6917379955405,4145.3356071015805
2,Day1,1,3,1014.1845110059684,919.933991735184
3,Day1,1,3,,
4,Day1,1,3,1223.1660692405387,2161.989463255092
5,Day1,1,3,,
6,Day1,1,3,,
7,Day1,1,3,,
8,Day1,1,3,,
9,Day1,1,3,,
0,Day1,1,4,2987.0221178702745,3563.0752731635125
1,Day1,1,4,3813.6493282806014,1414.8919819145347
2,Day1,1,4,,
3,Day1,1,4,1151.9344573710514,1051.3490723993307
4,Day1,1,4,,
5,Day1,1,4,,
6,Day1,1,4,,
7,Day1,1,4,,
8,Day1,1,4,,
9,Day1,1,4,,
0,Day1,1,5,1853.0581068942186,1153.23329824958
1,Day1,1,5,,
2,Day1,1,5,1525.6825596287156,1572.3928156312506
3,Day1,1,5,,
4,Day1,1,5,,
5,Day1,1,5,,
6,Day1,1,5,1407.938340229405,500.4914752584549
7,Day1,1,5,,
8,Day1,1,5,,
9,Day1,1,5,,
0,Day1,1,6,1058.4714961744023,1042.9971693100304
1,Day1,1,6,,
2,Day1,1,6,,
3,Day1,1,6,,
4,Day1,1,6,,
5,Day1,1,6,,
6,Day1,1,6,,
7,Day1,1,6,,
8,Day1,1,6,,
9,Day1,1,6,,
0,Day1,1,7,2170.9880652066167,1246.2015730036874
1,Day1,1,7,,
2,Day1,1,7,,
3,Day1,1,7,,
4,Day1,1,7,,
5,Day1,1,7,1296.8774464582914,1537.8931521959555
6,Day1,1,7,,
7,Day1,1,7,,
8,Day1,1,7,,
9,Day1,1,7,,
0,Day1,1,8,1712.3015026558708,1238.3132458540704
1,Day1,1,8,,
2,Day1,1,8,1738.8367630889707,1408.8450528162207
3,Day1,1,8,,
4,Day1,1,8,4374.449712436065,3021.369847127848
5,Day1,1,8,,
6,Day1,1,8,,
7,Day1,1,8,,
8,Day1,1,8,,
9,Day1,1,8,,
0,Day1,1,9,2457.0166291159226,1003.1053938096126
1,Day1,1,9,,
2,Day1,1,9,,
3,Day1,1,9,,
4,Day1,1,9,,
5,Day1,1,9,,
6,Day1,1,9,,
7,Day1,1,9,,
8,Day1,1,9,1461.7762298154187,2904.233732238223
9,Day1,1,9,1873.8234769011983,3275.0029010933868
0,Day1,2,0,1526.2244760244964,1419.174957345427
1,Day1,2,0,,
2,Day1,2,0,1567.0000288987271,1043.1618915289212
3,Day1,2,0,,
4,Day1,2,0,4359.390285644691,5065.88859476368
5,Day1,2,0,,
6,Day1,2,0,,
7,Day1,2,0,,
8,Day1,2,0,,
9,Day1,2,0,2206.9889932780443,1092.3849898160943
0,Day1,2,1,1596.4500934491766,1199.3241540398767
1,Day1,2,1,,
2,Day1,2,1,,
3,Day1,2,1,,
4,Day1,2,1,,
5,Day1,2,1,,
6,Day1,2,1,,
7,Day1,2,1,,
8,Day1,2,1,1226.2954701624408,545.431458836306
9,Day1,2,1,1944.9454528562287,1705.1926640983054
0,Day1,2,2,2794.150305214929,1504.749445108102
1,Day1,2,2,,
2,Day1,2,2,,
3,Day1,2,2,,
4,Day1,2,2,,
5,Day1,2,2,,
6,Day1,2,2,,
7,Day1,2,2,,
8,Day1,2,2,,
9,Day1,2,2,,
0,Day1,2,3,1626.8117315913419,1394.5464818146122
1,Day1,2,3,,
2,Day1,2,3,,
3,Day1,2,3,,
4,Day1,2,3,,
5,Day1,2,3,,
6,Day1,2,3,,
7,Day1,2,3,,
8,Day1,2,3,,
9,Day1,2,3,,
0,Day1,2,4,2924.065370568937,1315.6280977679914
1,Day1,2,4,,
2,Day1,2,4,,
3,Day1,2,4,4017.280942298539,3246.124777739243
4,Day1,2,4,,
5,Day1,2,4,4168.935093641612,3428.838899270664
6,Day1,2,4,,
7,Day1,2,4,,
8,Day1,2,4,,
9,Day1,2,4,,
0,Day1,2,5,1794.096972720916,1252.405341656269
1,Day1,2,5,2123.962982349013,1358.2380864314755
2,Day1,2,5,,
3,Day1,2,5,,
4,Day1,2,5,,
5,Day1,2,5,2209.103676109306,1698.8373983897789
6,Day1,2,5,,
7,Day1,2,5,,
8,Day1,2,5,,
9,Day1,2,5,,
0,Day1,2,6,2348.239390337936,1300.8686447709472
1,Day1,2,6,,
2,Day1,2,6,,
3,Day1,2,6,,
4,Day1,2,6,,
5,Day1,2,6,,
6,Day1,2,6,,
7,Day1,2,6,1439.8325459861892,1003.3601313376261
8,Day1,2,6,,
9,Day1,2,6,774.5453621787599,516.8988089454808
0,Day1,2,7,1416.7905497446102,1078.6197949607306
1,Day1,2,7,,
2,Day1,2,7,1939.9357650566656,1297.9206767679202
3,Day1,2,7,,
4,Day1,2,7,,
5,Day1,2,7,1887.5769339285087,1720.1439050561255
6,Day1,2,7,,
7,Day1,2,7,,
8,Day1,2,7,2428.4149093833216,2151.00814483476
9,Day1,2,7,,
0,Day1,2,8,1003.3403950100296,1150.3132488142599
1,Day1,2,8,933.0026717409456,521.5510228067038
2,Day1,2,8,,
3,Day1,2,8,,
4,Day1,2,8,1222.445929952903,939.5653357487936
5,Day1,2,8,,
6,Day1,2,8,,
7,Day1,2,8,,
8,Day1,2,8,,
9,Day1,2,8,,
0,Day1,2,9,4676.462944598414,2114.6823841024398
1,Day1,2,9,,
2,Day1,2,9,,
3,Day1,2,9,,
4,Day1,2,9,,
5,Day1,2,9,,
6,Day1,2,9,2527.7082941592953,2303.4199596073818
7,Day1,2,9,,
8,Day1,2,9,698.9487073115556,872.1248471165985
9,Day1,2,9,,
0,Day1,3,0,3795.6910511655406,1326.9605559788722
1,Day1,3,0,,
2,Day1,3,0,,
3,Day1,3,0,,
4,Day1,3,0,,
5,Day1,3,0,,
6,Day1,3,0,,
7,Day1,3,0,,
8,Day1,3,0,,
9,Day1,3,0,,
0,Day1,3,1,1732.0419195137918,1039.3016664855918
1,Day1,3,1,2332.631627335378,1883.3908885252133
2,Day1,3,1,,
3,Day1,3,1,,
4,Day1,3,1,,
5,Day1,3,1,,
6,Day1,3,1,,
7,Day1,3,1,,
8,Day1,3,1,,
9,Day1,3,1,,
0,Day1,3,2,1810.827140018047,2338.449833486374
1,Day1,3,2,,
2,Day1,3,2,,
3,Day1,3,2,,
4,Day1,3,2,,
5,Day1,3,2,,
6,Day1,3,2,,
7,Day1,3,2,,
8,Day1,3,2,,
9,Day1,3,2,,
0,Day1,3,3,3024.4145447252226,524.4881142169693
1,Day1,3,3,2699.565643483478,1170.4171528695315
2,Day1,3,3,1686.6744225227699,1299.3051356924188
3,Day1,3,3,,
4,Day1,3,3,1067.4886957439562,1488.9918933781814
5,Day1,3,3,777.1486888137973,802.0132793038065
6,Day1,3,3,,
7,Day1,3,3,,
8,Day1,3,3,,
9,Day1,3,3,,
0,Day1,3,4,2062.8584219781187,806.9921398119623
1,Day1,3,4,,
2,Day1,3,4,,
3,Day1,3,4,,
4,Day1,3,4,,
5,Day1,3,4,1962.8120477433679,1472.990909078373
6,Day1,3,4,,
7,Day1,3,4,2002.8876472589184,1831.5800565101588
8,Day1,3,4,,
9,Day1,3,4,747.0437583126518,1994.621925732198
0,Day1,3,5,3261.7099113050126,3900.6960041789225
1,Day1,3,5,4554.767170710931,1932.3892773312882
2,Day1,3,5,,
3,Day1,3,5,,
4,Day1,3,5,,
5,Day1,3,5,,
6,Day1,3,5,,
7,Day1,3,5,1695.833669993598,1888.1688489654425
8,Day1,3,5,,
9,Day1,3,5,,
0,Day1,3,6,1974.566359319347,991.6271050286072
1,Day1,3,6,,
2,Day1,3,6,,
3,Day1,3,6,4624.56899633976,4284.645964935598
4,Day1,3,6,,
5,Day1,3,6,,
6,Day1,3,6,,
7,Day1,3,6,,
8,Day1,3,6,,
9,Day1,3,6,,
0,Day1,3,7,2544.821263286529,522.4725969471284
1,Day1,3,7,6510.71705787783,5408.140691820122
2,Day1,3,7,,
3,Day1,3,7,1121.134392817476,814.4209033859007
4,Day1,3,7,,
5,Day1,3,7,,
6,Day1,3,7,,
7,Day1,3,7,,
8,Day1,3,7,,
9,Day1,3,7,,
0,Day1,3,8,3401.047540140656,2371.63404846418
1,Day1,3,8,,
