,pid,condition,ques_num,response
0,P13,control,1,1
1,P13,control,2,1
2,P13,control,3,1
3,P13,control,4,1
4,P13,control,5,1
5,P13,control,6,1
6,P13,control,7,1
7,P13,control,8,1
8,P13,control,9,1
9,P13,control,10,1
