,pid,condition,ques_num,response
0,Okubo,control,1,1
1,Okubo,control,2,1
2,Okubo,control,3,1
3,Okubo,control,4,1
4,Okubo,control,5,1
5,Okubo,control,6,1
6,Okubo,control,7,1
7,Okubo,control,8,1
8,Okubo,control,9,1
9,Okubo,control,10,1
