,pid,condition,day,block,hand,RT
0,P15,control,Day1,0,left,18.352034458916933
1,P15,control,Day1,0,right,18.221408119449734
2,P15,control,Day1,0,right,20.273882124914962
3,P15,control,Day1,0,left,23.711430317028324
4,P15,control,Day1,0,left,22.126012537131828
5,P15,control,Day1,0,right,24.545645999360204
6,P15,control,Day1,0,left,22.526612005844974
7,P15,control,Day1,0,right,19.28942272886616
8,P15,control,Day1,0,left,19.606359731023986
9,P15,control,Day1,0,right,21.22502178580362
0,P15,control,Day1,1,left,17.904392592634395
1,P15,control,Day1,1,right,22.29294714524621
2,P15,control,Day1,1,right,17.77085356300995
3,P15,control,Day1,1,left,17.270296804046666
4,P15,control,Day1,1,left,18.822144335978013
5,P15,control,Day1,1,right,17.537341538201872
6,P15,control,Day1,1,left,15.918835000546096
7,P15,control,Day1,1,right,28.149773714923874
8,P15,control,Day1,1,left,18.037854246747887
9,P15,control,Day1,1,right,16.70264206738102
0,P15,control,Day1,2,left,17.23702111930288
1,P15,control,Day1,2,right,18.855589327540656
2,P15,control,Day1,2,right,18.52189478079163
3,P15,control,Day1,2,left,27.33226693020333
4,P15,control,Day1,2,left,28.950876890576183
5,P15,control,Day1,2,right,18.037729373392718
6,P15,control,Day1,2,left,19.906807321562155
7,P15,control,Day1,2,right,17.954496685684713
8,P15,control,Day1,2,left,20.42407642555736
9,P15,control,Day1,2,right,37.694590800358135
0,P15,control,Day1,3,left,17.82089751766398
1,P15,control,Day1,3,right,18.53851672670862
2,P15,control,Day1,3,right,22.276257016943426
3,P15,control,Day1,3,left,18.605314778531465
4,P15,control,Day1,3,left,23.327319110794633
5,P15,control,Day1,3,right,22.409781873828244
6,P15,control,Day1,3,left,23.96154590149308
7,P15,control,Day1,3,right,43.885146391025046
8,P15,control,Day1,3,left,30.55271628275659
9,P15,control,Day1,3,right,21.208222872126502
0,P15,control,Day1,4,left,16.836520859787928
1,P15,control,Day1,4,right,22.776985764054192
2,P15,control,Day1,4,right,23.544537461049913
3,P15,control,Day1,4,left,19.456034811320933
4,P15,control,Day1,4,left,15.651720934865804
5,P15,control,Day1,4,right,20.056995876497236
6,P15,control,Day1,4,left,22.276166234782067
7,P15,control,Day1,4,right,21.091539447146715
8,P15,control,Day1,4,left,19.890095359576662
9,P15,control,Day1,4,right,17.22034746202553
0,P15,control,Day2,0,right,16.412438846513396
1,P15,control,Day2,0,left,20.67405896783748
2,P15,control,Day2,0,right,16.269077668199316
3,P15,control,Day2,0,left,18.488493260665567
4,P15,control,Day2,0,right,18.08812078552728
5,P15,control,Day2,0,left,19.27272044752317
6,P15,control,Day2,0,right,21.959192061432987
7,P15,control,Day2,0,left,18.60510739879101
8,P15,control,Day2,0,right,19.422903697326547
9,P15,control,Day2,0,left,24.462187490906214
0,P15,control,Day2,1,right,19.072526165953605
1,P15,control,Day2,1,left,29.234488118643643
2,P15,control,Day2,1,right,20.874520233322986
3,P15,control,Day2,1,left,23.828019829597906
4,P15,control,Day2,1,right,25.680324854722127
5,P15,control,Day2,1,left,20.207120158855105
6,P15,control,Day2,1,right,23.577870441164126
7,P15,control,Day2,1,left,16.853181820260943
8,P15,control,Day2,1,right,16.91978875710629
9,P15,control,Day2,1,left,17.253643928474048
0,P15,control,Day2,2,right,15.551637067328556
1,P15,control,Day2,2,left,16.519302133878227
2,P15,control,Day2,2,right,19.639767045984627
3,P15,control,Day2,2,left,19.689741305206553
4,P15,control,Day2,2,right,22.27615331695415
5,P15,control,Day2,2,left,19.539623556484003
6,P15,control,Day2,2,right,16.102344478989835
7,P15,control,Day2,2,left,19.973471679797512
8,P15,control,Day2,2,right,18.57187766696734
9,P15,control,Day2,2,left,14.450364737582277
0,P15,control,Day2,3,right,16.3692322660645
1,P15,control,Day2,3,left,21.72563666284259
2,P15,control,Day2,3,right,18.388334066228712
3,P15,control,Day2,3,left,20.52385235214024
4,P15,control,Day2,3,right,19.890178055677094
5,P15,control,Day2,3,left,16.035587004589615
6,P15,control,Day2,3,right,20.57430848480726
7,P15,control,Day2,3,left,14.033195640615304
8,P15,control,Day2,3,right,17.887756047930452
9,P15,control,Day2,3,left,17.353630368597806
0,P15,control,Day2,4,right,18.087955309107198
1,P15,control,Day2,4,left,18.772164262918523
2,P15,control,Day2,4,right,16.969933089305414
3,P15,control,Day2,4,left,19.389585481592807
4,P15,control,Day2,4,right,19.406221989673213
5,P15,control,Day2,4,left,20.641011183455703
6,P15,control,Day2,4,right,15.167886161434579
7,P15,control,Day2,4,left,18.288224284886386
8,P15,control,Day2,4,right,19.439531012278167
9,P15,control,Day2,4,left,19.74003579193959
0,P15,control,Day3,0,left,15.180825566728345
1,P15,control,Day3,0,right,15.701786111696947
2,P15,control,Day3,0,right,17.904376431401033
3,P15,control,Day3,0,left,20.42405644892824
4,P15,control,Day3,0,right,15.101138684990474
5,P15,control,Day3,0,left,13.78281289322149
6,P15,control,Day3,0,right,12.6982057676978
7,P15,control,Day3,0,left,15.518297216432984
8,P15,control,Day3,0,left,17.703964885279674
9,P15,control,Day3,0,right,18.43836097084113
0,P15,control,Day3,1,left,17.98787923128566
1,P15,control,Day3,1,right,12.731424786920797
2,P15,control,Day3,1,right,9.678082755857758
3,P15,control,Day3,1,left,16.1355765610233
4,P15,control,Day3,1,right,9.81157094248465
5,P15,control,Day3,1,left,16.71965872009332
6,P15,control,Day3,1,right,13.515892061841441
7,P15,control,Day3,1,left,16.486061862919996
8,P15,control,Day3,1,left,15.418227616721197
9,P15,control,Day3,1,right,13.94973077513805
0,P15,control,Day3,2,left,14.967133384380759
1,P15,control,Day3,2,right,12.447980823115358
2,P15,control,Day3,2,right,17.203612290152705
3,P15,control,Day3,2,left,16.2024512734979
4,P15,control,Day3,2,right,17.403949525078133
5,P15,control,Day3,2,left,14.750736887425774
6,P15,control,Day3,2,right,10.52903518405219
7,P15,control,Day3,2,left,12.981849682242682
8,P15,control,Day3,2,left,15.634943575203579
9,P15,control,Day3,2,right,13.449035352592546
0,P15,control,Day3,3,left,13.38238165846542
1,P15,control,Day3,3,right,16.002153492453544
2,P15,control,Day3,3,right,11.78051192752173
3,P15,control,Day3,3,left,15.000992092752313
4,P15,control,Day3,3,right,12.28106179205679
5,P15,control,Day3,3,left,13.799545552570635
6,P15,control,Day3,3,right,14.617223419671063
7,P15,control,Day3,3,left,14.116621077641867
8,P15,control,Day3,3,left,9.160726303825868
9,P15,control,Day3,3,right,13.44906676248047
0,P15,control,Day3,4,left,18.304965864731457
1,P15,control,Day3,4,right,14.667306483497669
2,P15,control,Day3,4,right,15.48488437522883
3,P15,control,Day3,4,left,15.167924913517709
4,P15,control,Day3,4,right,14.750710840203283
5,P15,control,Day3,4,left,13.799512227447849
6,P15,control,Day3,4,right,15.134572976849086
7,P15,control,Day3,4,left,19.890101787183994
8,P15,control,Day3,4,left,17.253640961249403
9,P15,control,Day3,4,right,12.698301912593706
