,pid,condition,day,timing,block,hand,RT
0,P12,continuous,Day1,pre,0,right,10.12352000232204
1,P12,continuous,Day1,pre,0,left,8.989648922142806
2,P12,continuous,Day1,pre,1,left,9.438835062283033
3,P12,continuous,Day1,pre,1,right,8.880945176017121
4,P12,continuous,Day1,pre,2,right,8.141578751005
5,P12,continuous,Day1,pre,2,left,8.89805971395981
6,P12,continuous,Day1,pre,3,right,9.299824641107989
7,P12,continuous,Day1,pre,3,left,9.40323927487043
8,P12,continuous,Day1,pre,4,right,10.06422586593544
9,P12,continuous,Day1,pre,4,left,9.382941999800096
0,P12,continuous,Day1,post,0,right,8.090966373842093
1,P12,continuous,Day1,post,0,left,8.292508061218541
2,P12,continuous,Day1,post,1,left,8.078143493985408
3,P12,continuous,Day1,post,1,right,7.919961955776671
4,P12,continuous,Day1,post,2,left,9.360089418485586
5,P12,continuous,Day1,post,2,right,8.440579075067943
6,P12,continuous,Day1,post,3,right,9.988589031221636
7,P12,continuous,Day1,post,3,left,8.344155814309488
8,P12,continuous,Day1,post,4,right,8.150448969339777
9,P12,continuous,Day1,post,4,left,9.212992876098724
0,P12,continuous,Day2,pre,0,left,9.573144787267664
1,P12,continuous,Day2,pre,0,right,8.264089243879424
2,P12,continuous,Day2,pre,1,left,8.93828419347119
3,P12,continuous,Day2,pre,1,right,9.12162631136016
4,P12,continuous,Day2,pre,2,left,9.426489402612788
5,P12,continuous,Day2,pre,2,right,10.492241761035984
6,P12,continuous,Day2,pre,3,right,10.002505895099603
7,P12,continuous,Day2,pre,3,left,10.209809150532235
8,P12,continuous,Day2,pre,4,left,10.535418846833636
9,P12,continuous,Day2,pre,4,right,9.377834358107066
0,P12,continuous,Day2,post,0,left,9.130262494625642
1,P12,continuous,Day2,post,0,right,10.328992003502206
2,P12,continuous,Day2,post,1,left,9.429900438364713
3,P12,continuous,Day2,post,1,right,9.444484579289563
4,P12,continuous,Day2,post,2,left,9.150267520191846
5,P12,continuous,Day2,post,2,right,9.056327480881011
6,P12,continuous,Day2,post,3,right,9.594520355894929
7,P12,continuous,Day2,post,3,left,8.437766313596514
8,P12,continuous,Day2,post,4,left,8.681987662814207
9,P12,continuous,Day2,post,4,right,9.074406927931703
0,P12,continuous,Day3,pre,0,left,8.789003019919619
1,P12,continuous,Day3,pre,0,right,8.23902378109051
2,P12,continuous,Day3,pre,1,left,8.389187878579833
3,P12,continuous,Day3,pre,1,right,9.457628079515416
4,P12,continuous,Day3,pre,2,right,10.478249045088887
5,P12,continuous,Day3,pre,2,left,8.981498051842209
6,P12,continuous,Day3,pre,3,right,9.146344733308071
7,P12,continuous,Day3,pre,3,left,9.367981616815085
8,P12,continuous,Day3,pre,4,left,9.63205553876469
9,P12,continuous,Day3,pre,4,right,9.695703435631003
0,P12,continuous,Day3,post,0,right,6.264460416685324
1,P12,continuous,Day3,post,0,left,9.620921887515578
2,P12,continuous,Day3,post,1,right,8.72782118129544
3,P12,continuous,Day3,post,1,left,8.618782951612957
4,P12,continuous,Day3,post,2,left,8.999548387306277
5,P12,continuous,Day3,post,2,right,7.328448459447827
6,P12,continuous,Day3,post,3,right,7.969005731923971
7,P12,continuous,Day3,post,3,left,9.05934934061952
8,P12,continuous,Day3,post,4,left,7.937635311449412
9,P12,continuous,Day3,post,4,right,8.75369180936832
