,pid,condition,day,timing,block,hand,RT
0,P01,continuous,Day1,pre,0,right,18.73049937429459
1,P01,continuous,Day1,pre,0,left,16.552728882910742
2,P01,continuous,Day1,pre,1,right,14.650282860915468
3,P01,continuous,Day1,pre,1,left,15.732169841423454
4,P01,continuous,Day1,pre,2,right,14.443824461901386
5,P01,continuous,Day1,pre,2,left,16.474400024206258
6,P01,continuous,Day1,pre,3,left,15.435253023482804
7,P01,continuous,Day1,pre,3,right,18.09418852874661
8,P01,continuous,Day1,pre,4,left,20.734592229433478
9,P01,continuous,Day1,pre,4,right,21.43055686961452
0,P01,continuous,Day1,post,0,right,12.346758485538885
1,P01,continuous,Day1,post,0,left,12.901710572128653
2,P01,continuous,Day1,post,1,right,11.124954465311019
3,P01,continuous,Day1,post,1,left,8.7942636442167
4,P01,continuous,Day1,post,2,right,9.686126082917326
5,P01,continuous,Day1,post,2,left,16.037704829490394
6,P01,continuous,Day1,post,3,left,8.71205720269063
7,P01,continuous,Day1,post,3,right,30.36816773773171
8,P01,continuous,Day1,post,4,left,12.850080458985758
9,P01,continuous,Day1,post,4,right,30.302950954297557
0,P01,continuous,Day2,pre,0,right,18.07226911357157
1,P01,continuous,Day2,pre,0,left,19.037408379921548
2,P01,continuous,Day2,pre,1,left,21.843988363028984
3,P01,continuous,Day2,pre,1,right,13.511887675267644
4,P01,continuous,Day2,pre,2,right,13.483876589884858
5,P01,continuous,Day2,pre,2,left,13.216468727076972
6,P01,continuous,Day2,pre,3,left,11.947809449389752
7,P01,continuous,Day2,pre,3,right,14.090568805793733
8,P01,continuous,Day2,pre,4,right,11.45455126989691
9,P01,continuous,Day2,pre,4,left,12.039947216108885
0,P01,continuous,Day2,post,0,left,12.470871757745956
1,P01,continuous,Day2,post,0,right,10.651668457411688
2,P01,continuous,Day2,post,1,left,9.235062599473167
3,P01,continuous,Day2,post,1,right,9.44267987413059
4,P01,continuous,Day2,post,2,left,9.948221608070526
5,P01,continuous,Day2,post,2,right,9.14143746085756
6,P01,continuous,Day2,post,3,right,7.756996834115852
7,P01,continuous,Day2,post,3,left,8.376433410134268
8,P01,continuous,Day2,post,4,left,8.459067778269857
9,P01,continuous,Day2,post,4,right,12.32169789458112
0,P01,continuous,Day3,pre,0,left,16.09995989500021
1,P01,continuous,Day3,pre,0,right,11.49711355078034
2,P01,continuous,Day3,pre,1,left,12.67512421250649
3,P01,continuous,Day3,pre,1,right,11.711902834813372
4,P01,continuous,Day3,pre,2,left,11.261019586334443
5,P01,continuous,Day3,pre,2,right,11.52753704350107
6,P01,continuous,Day3,pre,3,right,13.220610063326605
7,P01,continuous,Day3,pre,3,left,12.200128167460209
8,P01,continuous,Day3,pre,4,left,13.839647413075
9,P01,continuous,Day3,pre,4,right,10.330765515216628
0,P01,continuous,Day3,post,0,left,12.354494115825219
1,P01,continuous,Day3,post,0,right,10.248354526676849
2,P01,continuous,Day3,post,1,left,11.35252717046751
3,P01,continuous,Day3,post,1,right,10.999481737668248
4,P01,continuous,Day3,post,2,left,11.145100429130252
5,P01,continuous,Day3,post,2,right,8.261088534760347
6,P01,continuous,Day3,post,3,right,9.447959835244546
7,P01,continuous,Day3,post,3,left,9.576913692275411
8,P01,continuous,Day3,post,4,left,9.385926936884061
9,P01,continuous,Day3,post,4,right,8.389328775589092
