,pid,condition,day,block,hand,RT
0,P08,control,Day1,0,left,12.744629971035463
1,P08,control,Day1,0,right,13.215377260887179
2,P08,control,Day1,0,left,0.06682174955130904
3,P08,control,Day1,0,right,11.58019678646815
4,P08,control,Day1,0,left,13.432525730211635
5,P08,control,Day1,0,right,12.64806310466156
6,P08,control,Day1,0,right,10.846044677815373
7,P08,control,Day1,0,left,12.748344758980238
8,P08,control,Day1,0,left,12.180985403232624
9,P08,control,Day1,0,right,11.413422802852438
0,P08,control,Day1,1,left,12.18098808456125
1,P08,control,Day1,1,right,11.91398071052754
2,P08,control,Day1,1,left,12.647765860339858
3,P08,control,Day1,1,right,13.482553558562355
4,P08,control,Day1,1,left,13.549187998225536
5,P08,control,Day1,1,right,10.62912871790104
6,P08,control,Day1,1,right,12.047523085271678
7,P08,control,Day1,1,left,11.713840668617197
8,P08,control,Day1,1,left,11.896474322264115
9,P08,control,Day1,1,right,8.977190711724688
0,P08,control,Day1,2,left,10.779306049418665
1,P08,control,Day1,2,right,11.012938172032593
2,P08,control,Day1,2,left,11.179766165245383
3,P08,control,Day1,2,right,11.19652637832769
4,P08,control,Day1,2,left,10.262104374891347
5,P08,control,Day1,2,right,11.363316449904232
6,P08,control,Day1,2,right,10.011739235520508
7,P08,control,Day1,2,left,11.029699151207753
8,P08,control,Day1,2,left,11.296990745970106
9,P08,control,Day1,2,right,12.731614040501881
0,P08,control,Day1,3,left,11.296444904270176
1,P08,control,Day1,3,right,12.664830978679676
2,P08,control,Day1,3,left,11.913851623758092
3,P08,control,Day1,3,right,13.348935723595787
4,P08,control,Day1,3,left,14.01651008351837
5,P08,control,Day1,3,right,11.94734868406158
6,P08,control,Day1,3,right,11.813863000243144
7,P08,control,Day1,3,left,13.298951562584989
8,P08,control,Day1,3,left,14.28348604770872
9,P08,control,Day1,3,right,10.996221626286573
0,P08,control,Day1,4,left,12.531430331255253
1,P08,control,Day1,4,right,12.681570124186692
2,P08,control,Day1,4,left,11.91398377490259
3,P08,control,Day1,4,right,12.764984695364545
4,P08,control,Day1,4,left,10.428790640784428
5,P08,control,Day1,4,right,13.148712177480776
6,P08,control,Day1,4,right,12.698360981015869
7,P08,control,Day1,4,left,13.482395360228107
8,P08,control,Day1,4,left,12.064140038848565
9,P08,control,Day1,4,right,13.265705014888225
0,P08,control,Day2,0,left,10.932872170335033
1,P08,control,Day2,0,right,10.495681145586788
2,P08,control,Day2,0,left,11.39671675133286
3,P08,control,Day2,0,right,11.346622636696338
4,P08,control,Day2,0,left,10.5790122444796
5,P08,control,Day2,0,right,11.546955810938014
6,P08,control,Day2,0,left,11.012914428076328
7,P08,control,Day2,0,right,12.064185646004262
8,P08,control,Day2,0,left,10.59580961953543
9,P08,control,Day2,0,right,11.380024331141612
0,P08,control,Day2,1,left,11.346692734288807
1,P08,control,Day2,1,right,11.296399818284044
2,P08,control,Day2,1,left,10.24527415819648
3,P08,control,Day2,1,right,11.095945601204221
4,P08,control,Day2,1,left,11.27994833462435
5,P08,control,Day2,1,right,11.730534511381848
6,P08,control,Day2,1,left,11.847368046070187
7,P08,control,Day2,1,right,12.59807419313074
8,P08,control,Day2,1,left,12.598140460253491
9,P08,control,Day2,1,right,12.130929662620476
0,P08,control,Day2,2,left,10.478929353117564
1,P08,control,Day2,2,right,11.38007029677465
2,P08,control,Day2,2,left,11.012860035407355
3,P08,control,Day2,2,right,9.611240666101368
4,P08,control,Day2,2,left,10.295380530336844
5,P08,control,Day2,2,right,10.595844476807542
6,P08,control,Day2,2,left,11.029513767854947
7,P08,control,Day2,2,right,11.096427857319211
8,P08,control,Day2,2,left,11.563644783705966
9,P08,control,Day2,2,right,12.080857764707615
0,P08,control,Day2,3,left,9.81148957001642
1,P08,control,Day2,3,right,11.063025396779269
2,P08,control,Day2,3,left,12.965175669163726
3,P08,control,Day2,3,right,9.19405311941955
4,P08,control,Day2,3,left,10.145362871873658
5,P08,control,Day2,3,right,9.928277522114511
6,P08,control,Day2,3,left,10.178622838942829
7,P08,control,Day2,3,right,9.728070370321802
8,P08,control,Day2,3,left,9.344215186585645
9,P08,control,Day2,3,right,10.278693089756416
0,P08,control,Day2,4,left,9.56126146555107
1,P08,control,Day2,4,right,9.677963615136832
2,P08,control,Day2,4,left,9.844869813830883
3,P08,control,Day2,4,right,9.861683659906703
4,P08,control,Day2,4,left,9.911659413031883
5,P08,control,Day2,4,right,9.678037926245453
6,P08,control,Day2,4,left,10.128596906666646
7,P08,control,Day2,4,right,8.776952907443048
8,P08,control,Day2,4,left,8.326445255312137
9,P08,control,Day2,4,right,9.627951855596619
0,P08,control,Day3,0,right,10.392159176049972
1,P08,control,Day3,0,left,9.811539604786958
2,P08,control,Day3,0,left,9.544528859545608
3,P08,control,Day3,0,right,9.794795460430578
4,P08,control,Day3,0,left,9.427676849083582
5,P08,control,Day3,0,right,9.811535008219835
6,P08,control,Day3,0,right,10.228656607335324
7,P08,control,Day3,0,left,10.495713701294335
8,P08,control,Day3,0,right,10.244893214088734
9,P08,control,Day3,0,left,10.529019276469626
0,P08,control,Day3,1,right,9.610929716958708
1,P08,control,Day3,1,left,9.544545713624757
2,P08,control,Day3,1,left,10.29533938752229
3,P08,control,Day3,1,right,11.19638525972914
4,P08,control,Day3,1,left,10.128494731568026
5,P08,control,Day3,1,right,9.694695255269835
6,P08,control,Day3,1,right,10.245329887951812
7,P08,control,Day3,1,left,10.562407589851318
8,P08,control,Day3,1,right,10.662454168396835
9,P08,control,Day3,1,left,10.929499387891155
0,P08,control,Day3,2,right,11.163001542914571
1,P08,control,Day3,2,left,10.428937840624712
2,P08,control,Day3,2,left,12.147602277445003
3,P08,control,Day3,2,right,11.0463287985649
4,P08,control,Day3,2,left,11.580373271882308
5,P08,control,Day3,2,right,13.01528664957732
6,P08,control,Day3,2,right,12.264495657011139
7,P08,control,Day3,2,left,11.847211645862444
8,P08,control,Day3,2,right,11.563570521296242
9,P08,control,Day3,2,left,12.831710489826037
0,P08,control,Day3,3,right,10.846049480511283
1,P08,control,Day3,3,left,10.762718317778308
2,P08,control,Day3,3,left,10.562307997567586
3,P08,control,Day3,3,right,11.847295150161699
4,P08,control,Day3,3,left,11.213063903006514
5,P08,control,Day3,3,right,12.030767504109463
6,P08,control,Day3,3,right,11.363266305172147
7,P08,control,Day3,3,left,11.563498891461677
8,P08,control,Day3,3,right,11.763813449861118
9,P08,control,Day3,3,left,12.714774208969175
0,P08,control,Day3,4,right,10.278719733521939
1,P08,control,Day3,4,left,10.028457729204092
2,P08,control,Day3,4,left,11.563551751981322
3,P08,control,Day3,4,right,11.629977124418474
4,P08,control,Day3,4,left,10.695892660968639
5,P08,control,Day3,4,right,12.247766834543654
6,P08,control,Day3,4,right,11.897198162599125
7,P08,control,Day3,4,left,10.929551865363464
8,P08,control,Day3,4,right,11.029496553341232
9,P08,control,Day3,4,left,11.630380856217926
