,pid,condition,timing,view,hand,face,angle,response,RT
0,P09,control,pre,0,right,palm,300,False,1.511545623051461
1,P09,control,pre,0,right,back,180,False,1.038452978825262
2,P09,control,pre,0,left,back,180,True,2.9281579289090587
3,P09,control,pre,0,left,palm,0,False,0.6837713927188815
4,P09,control,pre,0,right,back,300,True,0.9791438354459387
5,P09,control,pre,0,right,back,0,True,0.9032475907279148
6,P09,control,pre,0,left,back,120,True,1.7263103381046676
7,P09,control,pre,0,left,back,300,True,1.7160285799327542
8,P09,control,pre,0,right,palm,240,True,1.193784060094913
9,P09,control,pre,0,left,back,0,True,1.0611247880315204
10,P09,control,pre,0,left,palm,60,True,1.173165767973842
11,P09,control,pre,0,right,back,240,True,1.1926127011620338
12,P09,control,pre,0,right,back,120,True,1.1318472115872282
13,P09,control,pre,0,right,palm,0,True,1.5458651374392502
14,P09,control,pre,0,right,palm,60,True,1.5749905291531832
15,P09,control,pre,0,right,back,60,True,0.9623755526890818
16,P09,control,pre,0,left,palm,180,True,1.1999890448441874
17,P09,control,pre,0,left,palm,120,True,1.2260416303570312
18,P09,control,pre,0,right,palm,180,True,1.2031759991696165
19,P09,control,pre,0,left,palm,300,True,1.1580553143421641
20,P09,control,pre,0,right,palm,120,False,2.3231452940899544
21,P09,control,pre,0,left,palm,240,False,1.5600685348399566
22,P09,control,pre,0,left,back,60,True,1.4203600415676192
23,P09,control,pre,0,left,back,240,True,1.1500040411501686
24,P09,control,pre,1,right,back,120,True,1.410422259956249
25,P09,control,pre,1,right,palm,300,True,1.668596204077403
26,P09,control,pre,1,left,palm,300,True,1.443760406918955
27,P09,control,pre,1,left,palm,60,True,1.3813091257588894
28,P09,control,pre,1,right,palm,60,True,1.128562580176549
29,P09,control,pre,1,left,back,240,True,1.31818597946949
30,P09,control,pre,1,left,back,60,True,1.9559901526181418
31,P09,control,pre,1,left,palm,180,True,1.143670352475965
32,P09,control,pre,1,right,back,60,True,1.3808647907817428
33,P09,control,pre,1,left,back,0,True,0.8727957058854372
34,P09,control,pre,1,left,palm,120,True,1.0976594655039662
35,P09,control,pre,1,left,palm,0,True,1.1692594506412206
36,P09,control,pre,1,right,back,0,True,0.8141002044321795
37,P09,control,pre,1,right,palm,180,True,1.5773738500438412
38,P09,control,pre,1,left,back,120,True,1.244735492366999
39,P09,control,pre,1,right,back,240,True,1.1819750919603391
40,P09,control,pre,1,right,back,180,True,1.882679860861572
41,P09,control,pre,1,right,back,300,True,0.8098713611934727
42,P09,control,pre,1,left,back,300,True,1.0130033099121647
43,P09,control,pre,1,left,back,180,True,3.6237651030796765
44,P09,control,pre,1,right,palm,120,True,1.742841897571452
45,P09,control,pre,1,right,palm,240,True,1.6442937621113742
46,P09,control,pre,1,left,palm,240,True,2.1164529198367745
47,P09,control,pre,1,right,palm,0,True,1.3540939914037151
48,P09,control,pre,2,right,palm,120,True,1.8065154829673704
49,P09,control,pre,2,left,palm,0,True,2.1203829861069607
50,P09,control,pre,2,right,palm,240,True,1.0211840531237613
51,P09,control,pre,2,left,back,120,True,1.7682298958534377
52,P09,control,pre,2,right,back,240,True,1.2040930146331448
53,P09,control,pre,2,right,back,180,True,3.3981061370704992
54,P09,control,pre,2,right,palm,300,True,1.0636398772257962
55,P09,control,pre,2,right,back,60,True,1.6643696591227126
56,P09,control,pre,2,left,palm,240,True,1.6719022861416306
57,P09,control,pre,2,right,back,0,True,0.9673785347131344
58,P09,control,pre,2,left,back,300,True,1.5076653529413306
59,P09,control,pre,2,left,back,180,True,2.985886618736913
60,P09,control,pre,2,right,palm,180,True,1.859117466463431
61,P09,control,pre,2,left,palm,120,True,1.0195932572933089
62,P09,control,pre,2,left,palm,60,True,1.3495035514233678
63,P09,control,pre,2,right,palm,60,True,1.194140294172939
64,P09,control,pre,2,right,back,120,True,1.2464285618516442
65,P09,control,pre,2,left,palm,180,True,1.3515758378298417
66,P09,control,pre,2,left,back,0,True,1.0759425934529645
67,P09,control,pre,2,left,back,240,True,1.6520826478381423
68,P09,control,pre,2,right,back,300,True,0.8762289596852497
69,P09,control,pre,2,left,back,60,True,0.9098888664593688
70,P09,control,pre,2,right,palm,0,True,1.2759304891560532
71,P09,control,pre,2,left,palm,300,True,1.2441318096734904
0,P09,control,post,0,right,palm,240,True,1.8715071836777497
1,P09,control,post,0,right,back,120,True,0.8305536871339427
2,P09,control,post,0,left,palm,300,True,1.0010449528926983
3,P09,control,post,0,left,back,120,True,0.8919967640104005
4,P09,control,post,0,right,back,60,True,0.5868705192988273
5,P09,control,post,0,left,palm,0,True,1.5750355084746843
6,P09,control,post,0,left,back,0,True,0.6505107551929541
7,P09,control,post,0,right,palm,0,True,1.2757492021046346
8,P09,control,post,0,left,palm,240,True,0.9790404206723906
9,P09,control,post,0,left,palm,120,True,1.8872059920831816
10,P09,control,post,0,left,back,180,True,1.973724107912858
11,P09,control,post,0,left,back,240,True,1.193002569489181
12,P09,control,post,0,right,back,300,True,0.8129017207975267
13,P09,control,post,0,right,palm,120,True,1.4237816416280111
14,P09,control,post,0,right,palm,180,True,0.7536561859888025
15,P09,control,post,0,right,back,180,True,1.4389464821724687
16,P09,control,post,0,left,back,300,True,0.7838663563452428
17,P09,control,post,0,right,back,240,False,0.7717023079312639
18,P09,control,post,0,left,palm,180,True,1.0962930985551793
19,P09,control,post,0,left,palm,60,True,1.079425612988416
20,P09,control,post,0,right,back,0,True,0.647731747420039
21,P09,control,post,0,left,back,60,True,0.7937566362961661
22,P09,control,post,0,right,palm,300,True,1.0055629951821174
23,P09,control,post,0,right,palm,60,True,1.1679420863220003
24,P09,control,post,1,left,back,300,True,0.8678444858815055
25,P09,control,post,1,left,palm,240,True,1.4924317524710204
26,P09,control,post,1,right,back,180,True,1.6192031544778729
27,P09,control,post,1,left,palm,180,True,1.1729182531271363
28,P09,control,post,1,left,palm,300,True,0.8654780199867673
29,P09,control,post,1,right,palm,0,True,0.97029698418919
30,P09,control,post,1,right,back,120,True,0.6548453178693308
31,P09,control,post,1,right,back,240,True,0.7199495603417745
32,P09,control,post,1,right,palm,60,True,0.7586702744592912
33,P09,control,post,1,left,palm,120,True,0.7957385227491613
34,P09,control,post,1,right,back,0,True,0.6083502767869504
35,P09,control,post,1,left,back,0,True,0.6202894764574012
36,P09,control,post,1,right,back,60,True,0.6309343594912207
37,P09,control,post,1,left,back,240,True,0.7775184973434079
38,P09,control,post,1,right,back,300,False,0.6948668604454724
39,P09,control,post,1,right,palm,300,True,0.9587833500117995
40,P09,control,post,1,left,back,60,True,0.7632358146074694
41,P09,control,post,1,right,palm,180,True,0.8243081017571967
42,P09,control,post,1,left,palm,0,True,0.8186167857347755
43,P09,control,post,1,left,back,180,True,1.2617771706864005
44,P09,control,post,1,left,back,120,True,0.9342955224856269
45,P09,control,post,1,right,palm,120,True,1.1559515583066968
46,P09,control,post,1,right,palm,240,True,1.0487684264953714
47,P09,control,post,1,left,palm,60,True,0.9543549407680985
48,P09,control,post,2,left,palm,120,True,0.9350478272826876
49,P09,control,post,2,left,back,60,True,1.0439156008942518
50,P09,control,post,2,right,palm,60,True,0.9575936052424368
51,P09,control,post,2,right,back,60,True,0.6265208890981739
52,P09,control,post,2,right,palm,300,True,1.053780982765602
53,P09,control,post,2,right,palm,180,True,0.6860471975523978
54,P09,control,post,2,right,back,300,True,0.7019225907424698
