,block,ERSP
0,b1,-95.74293943190669
1,b2,-92.57475202512822
2,b3,-88.82581497415987
3,b4,-79.39036532497417
4,b5,-85.89268217531502
5,b1,-94.19867049479852
6,b2,-92.44037668778248
7,b3,-81.97589758589184
8,b4,-85.05306022468339
9,b5,-84.48445004058085
10,b1,-85.95239306719601
11,b2,-90.87113089935676
12,b3,-94.86117958492524
13,b4,-90.75979379527675
14,b5,-89.3755664384623
